dropout,noise,lr,batch_size,temperature,loss,val_loss,res,clusters,NMI final,ARI final,CA final,val_NMI final,val_ARI final,val_CA final,final_loss,final_val_loss
0.1,0,0.4,512,0.07,"[63.074546575546265, 53.16719126701355, 41.48624849319458, 29.39929711818695, 19.360217213630676, 13.637387871742249, 9.429311990737915, 7.012172818183899, 5.538922220468521, 4.866859316825867, 4.307368665933609, 4.077696532011032, 3.7994930744171143, 3.7057041823863983, 3.4747725129127502, 3.2984825372695923, 3.20860792696476, 3.0663244277238846, 2.993774339556694, 3.0026289373636246, 2.9067620635032654, 2.9373978972434998, 2.8897884637117386, 2.8660997599363327, 2.821008026599884, 2.8654585629701614]","[14.125192165374756, 11.062628269195557, 8.415730476379395, 5.591295599937439, 3.9142211079597473, 2.8371662497520447, 2.0969728231430054, 1.7165017426013947, 1.494892030954361, 1.291121780872345, 1.2677043080329895, 1.156050056219101, 1.1618731915950775, 1.0861347019672394, 1.0664346367120743, 1.020067259669304, 1.0049878805875778, 1.0144648402929306, 0.9949794113636017, 0.9667838364839554, 0.9346731156110764, 0.9033663123846054, 0.9401281476020813, 0.9302379041910172, 0.9314264506101608, 0.9553256630897522]",0.5,5,0.60873,0.61201,0.75208,0.54001,0.59813,0.72996,2.8654585629701614,0.9553256630897522
0.1,0,0.4,512,0.07,"[62.11058592796326, 48.38584327697754, 33.42795705795288, 20.823980808258057, 14.176611125469208, 10.208231627941132, 7.989446401596069, 6.496067404747009, 5.402782648801804, 4.718108683824539, 4.12180557847023, 3.727615997195244, 3.4391316920518875, 3.290446326136589, 3.2001973092556, 3.060663178563118, 2.9969023913145065, 2.9237466603517532, 2.8677313178777695, 2.830998733639717, 2.8116427659988403, 2.7510080486536026, 2.6473811715841293, 2.7256355732679367, 2.7121767848730087, 2.684414878487587, 2.6487601548433304]","[13.264093399047852, 9.521285057067871, 6.032171726226807, 4.1634567975997925, 3.0564048886299133, 2.335244119167328, 1.9188551902770996, 1.6908097863197327, 1.535834938287735, 1.260997712612152, 1.17594875395298, 1.1177166402339935, 1.0422956347465515, 1.0418344140052795, 0.969846561551094, 0.9633158296346664, 0.9194596707820892, 0.9012038260698318, 0.9228478968143463, 0.9157864600419998, 0.8914615660905838, 0.8574296087026596, 0.8382639586925507, 0.8791477680206299, 0.866301104426384, 0.9053598046302795, 0.8562501966953278]",0.4,3,0.50961,0.34426,0.51017,0.45125,0.31888,0.50195,2.6487601548433304,0.8562501966953278
0.1,0,0.4,512,0.07,"[59.72365355491638, 43.506394386291504, 29.962247252464294, 17.71384173631668, 10.549138486385345, 7.425352960824966, 5.709081918001175, 4.577762454748154, 4.039248824119568, 3.5301950871944427, 3.2387457489967346, 2.8912376314401627, 2.6386639028787613, 2.5230434983968735, 2.301017239689827, 2.240023612976074, 2.1491233706474304, 2.045352026820183, 2.0083919763565063, 1.990975260734558, 1.9223794490098953, 1.898802362382412, 1.919335037469864, 1.8890402913093567, 1.8835278302431107, 1.865960992872715, 1.8431996926665306, 1.8623786866664886, 1.8561928123235703, 1.8541170805692673, 1.8456432223320007, 1.8692682459950447]","[12.10292363166809, 8.50182580947876, 5.332644939422607, 3.177508234977722, 2.2020087242126465, 1.6822757124900818, 1.401033878326416, 1.278725117444992, 1.0515509247779846, 1.0588834583759308, 0.9275765717029572, 0.8647920340299606, 0.855414867401123, 0.8367605358362198, 0.7477098107337952, 0.7305356115102768, 0.7317966967821121, 0.6871943026781082, 0.7069341242313385, 0.6499277651309967, 0.6607237160205841, 0.6764379292726517, 0.64370296895504, 0.632090650498867, 0.6574927568435669, 0.652691051363945, 0.6505098789930344, 0.6240372508764267, 0.6645877063274384, 0.6649457812309265, 0.6364946663379669, 0.6551069915294647]",0.6,4,0.6024,0.60739,0.74208,0.57309,0.58831,0.73074,1.8692682459950447,0.6551069915294647
0.1,0,0.4,512,0.07,"[65.4246461391449, 57.32328939437866, 42.310587882995605, 27.141865491867065, 17.431931138038635, 11.536977171897888, 8.386187076568604, 6.7925353944301605, 5.652896016836166, 5.0427610874176025, 4.605704367160797, 4.148500055074692, 3.9526047706604004, 3.7659913152456284, 3.4684223532676697, 3.2745787501335144, 3.198563873767853, 3.105479344725609, 3.017180249094963, 2.9058923572301865, 2.797402024269104, 2.810612767934799, 2.7117451429367065, 2.712022840976715, 2.7048221826553345, 2.6889652609825134, 2.650924950838089, 2.6454945653676987, 2.655603364109993, 2.649031490087509, 2.6265168339014053, 2.654418930411339, 2.6495469361543655]","[15.055557250976562, 12.061142206192017, 7.912619113922119, 4.972081303596497, 3.316088318824768, 2.426522195339203, 1.9340429902076721, 1.7132484316825867, 1.5151101350784302, 1.3888382315635681, 1.3120229840278625, 1.2581286132335663, 1.1457360684871674, 1.1398237496614456, 1.0491282045841217, 1.0650421679019928, 1.0283101946115494, 0.9807225614786148, 0.9450867921113968, 0.952752485871315, 0.9216428995132446, 0.9475498050451279, 0.8881793469190598, 0.8734340667724609, 0.8854406177997589, 0.8735891431570053, 0.8705369085073471, 0.8942361325025558, 0.8499115705490112, 0.8645641803741455, 0.8986766189336777, 0.8829361647367477, 0.8698510229587555]",0.5,4,0.50877,0.54949,0.69156,0.47416,0.54286,0.68016,2.6495469361543655,0.8698510229587555
0.2,0,0.4,512,0.07,"[59.11815142631531, 38.99954342842102, 24.598439812660217, 15.870943546295166, 11.258326649665833, 8.436990022659302, 7.012043327093124, 5.763944834470749, 5.069144010543823, 4.545711696147919, 4.243146151304245, 3.868239179253578, 3.57336263358593, 3.4224893152713776, 3.1703075617551804, 3.0636877715587616, 2.913602262735367, 2.8680025786161423, 2.7353928834199905, 2.7100167870521545, 2.676221579313278, 2.7048837393522263, 2.6409415155649185, 2.5968376994132996, 2.598363012075424, 2.5591313391923904, 2.559027314186096, 2.5352025479078293, 2.5307670682668686]","[11.378041505813599, 7.043796896934509, 4.721617341041565, 3.3327759504318237, 2.708169996738434, 2.1988085210323334, 1.8974941968917847, 1.6106860637664795, 1.5606942176818848, 1.4031133651733398, 1.339629590511322, 1.2614551484584808, 1.3159554302692413, 1.1575813293457031, 1.1579056680202484, 1.136061668395996, 1.1163659244775772, 1.0797053128480911, 1.0296813398599625, 0.9890608042478561, 1.0559188723564148, 1.0867984294891357, 1.0515474528074265, 0.9756900817155838, 0.9645828157663345, 1.0202075093984604, 1.0009364783763885, 0.9791876375675201, 0.9723669141530991]",0.5,6,0.6664,0.70216,0.80377,0.62233,0.66739,0.77665,2.5307670682668686,0.9723669141530991
0.2,0,0.4,512,0.07,"[59.192349910736084, 39.04136514663696, 25.795127987861633, 17.631611466407776, 12.360178530216217, 9.350271224975586, 7.466081291437149, 6.09506219625473, 5.002870708703995, 4.473419442772865, 3.9530188739299774, 3.6361575424671173, 3.5064582228660583, 3.313249707221985, 3.014395460486412, 3.0524196177721024, 2.9469136148691177, 2.890410989522934, 2.7503777593374252, 2.6995373368263245, 2.7070306092500687, 2.674115940928459, 2.666348770260811, 2.6104796677827835, 2.569022923707962, 2.6088793128728867]","[11.46890664100647, 7.510858774185181, 5.062539577484131, 3.7012057304382324, 2.839639902114868, 2.30876088142395, 2.028923213481903, 1.699386090040207, 1.5135500729084015, 1.3518742322921753, 1.3620417416095734, 1.2955960929393768, 1.229550063610077, 1.1656416058540344, 1.1492359638214111, 1.1181514114141464, 1.085755854845047, 1.01486374437809, 1.0577105581760406, 1.0169741362333298, 1.0662567615509033, 0.9958420395851135, 0.9967687278985977, 1.0375311970710754, 1.028230145573616, 1.0399534106254578]",0.4,4,0.63942,0.62402,0.75158,0.58056,0.59011,0.72607,2.6088793128728867,1.0399534106254578
0.2,0,0.4,512,0.07,"[60.86884641647339, 46.48080062866211, 34.155027866363525, 22.88130760192871, 15.058146595954895, 10.444788873195648, 8.035349071025848, 6.567096412181854, 5.534635096788406, 4.895927131175995, 4.446449309587479, 4.175141662359238, 3.8863078951835632, 3.6583727449178696, 3.4865623116493225, 3.3452510982751846, 3.2563259452581406, 3.138235166668892, 2.9930313378572464, 2.9189623445272446, 2.894893988966942, 2.8618448078632355, 2.8499219715595245, 2.8320723474025726, 2.7717310786247253]","[12.690751791000366, 9.455793857574463, 6.631197929382324, 4.689677000045776, 3.1593964099884033, 2.4959410429000854, 2.130725920200348, 1.8202385306358337, 1.688085913658142, 1.5003295838832855, 1.4171697199344635, 1.3591009974479675, 1.355545997619629, 1.2533846497535706, 1.2136943638324738, 1.2254495322704315, 1.1558967530727386, 1.1056350618600845, 1.157620906829834, 1.1198518425226212, 1.1006178110837936, 1.1297733783721924, 1.127472698688507, 1.1390109956264496, 1.1209799349308014]",0.6,9,0.62394,0.51585,0.61437,0.57384,0.45296,0.56887,2.7717310786247253,1.1209799349308014
0.2,0,0.4,512,0.07,"[58.840110301971436, 38.71955370903015, 22.820616483688354, 14.224893033504486, 9.856691718101501, 7.145050913095474, 5.48013710975647, 4.432367116212845, 3.8500504344701767, 3.4204037934541702, 3.0899370163679123, 2.8188393861055374, 2.578048139810562, 2.4004577547311783, 2.350390672683716, 2.176154300570488, 2.1193374395370483, 2.066061109304428, 2.0094073340296745, 1.9636688977479935, 1.9589592590928078, 1.9821543544530869, 1.9386331364512444, 1.8902912363409996, 1.912282943725586, 1.8194127976894379, 1.851179875433445, 1.8466356620192528, 1.8818220421671867, 1.872682198882103, 1.8680825605988503]","[11.211353778839111, 7.153205990791321, 4.2435479164123535, 3.100522220134735, 2.2481542229652405, 1.923991322517395, 1.5172202587127686, 1.3496403396129608, 1.1845965385437012, 1.0771325081586838, 1.0423608273267746, 0.9682447761297226, 0.9634062051773071, 0.8547682613134384, 0.9093678295612335, 0.868700698018074, 0.8233557194471359, 0.8445400446653366, 0.7820213884115219, 0.7806183844804764, 0.8088779002428055, 0.753679022192955, 0.7498828172683716, 0.7520275861024857, 0.7772699743509293, 0.7588862627744675, 0.7489304542541504, 0.7522555887699127, 0.8412767946720123, 0.7634768933057785, 0.765258401632309]",0.5,5,0.69018,0.67563,0.7891,0.64657,0.67538,0.77899,1.8680825605988503,0.765258401632309
0.3,0,0.4,512,0.07,"[54.72920036315918, 31.44454789161682, 20.504702925682068, 14.012101829051971, 10.175339579582214, 8.156154304742813, 6.84923392534256, 5.987155944108963, 5.373931020498276, 4.794628471136093, 4.499407112598419, 4.24268764257431, 3.8459069430828094, 3.6923731565475464, 3.6017639487981796, 3.4708464592695236, 3.3795364797115326, 3.199041038751602, 3.1458543092012405, 3.1813544183969498, 3.1051514744758606, 3.0412986278533936]","[9.6052987575531, 6.218304634094238, 4.203376412391663, 3.120002269744873, 2.544228196144104, 2.2067330479621887, 2.0051925778388977, 1.819176822900772, 1.7697680294513702, 1.6234508454799652, 1.5032799243927002, 1.607646882534027, 1.4456559717655182, 1.4354345798492432, 1.5034583508968353, 1.3682478964328766, 1.3218087255954742, 1.2555118203163147, 1.3401788175106049, 1.3817528784275055, 1.2930102050304413, 1.290205717086792]",0.3,5,0.78401,0.81998,0.84411,0.68269,0.73829,0.79533,3.0412986278533936,1.290205717086792
0.3,0,0.4,512,0.07,"[57.221696853637695, 36.82601499557495, 24.599660992622375, 16.868345975875854, 12.509302735328674, 9.762911081314087, 7.981164842844009, 6.878460019826889, 6.092840105295181, 5.421554207801819, 4.780391335487366, 4.5109193325042725, 4.287353873252869, 3.934265911579132, 3.8080801367759705, 3.617465376853943, 3.5193575024604797, 3.2922831922769547, 3.3680939376354218, 3.2688837945461273, 3.2076475471258163, 3.0858208686113358, 3.1354434192180634]","[10.484009265899658, 7.370513677597046, 4.948416471481323, 3.8791710138320923, 3.085389018058777, 2.724783778190613, 2.346072793006897, 2.175013780593872, 1.7830905616283417, 1.7742967903614044, 1.6449749171733856, 1.5503036677837372, 1.5614437758922577, 1.5431723892688751, 1.4056410193443298, 1.4290734231472015, 1.36754110455513, 1.33563694357872, 1.3248673677444458, 1.3690068423748016, 1.3349213898181915, 1.3382115364074707, 1.3358530700206757]",0.4,6,0.79381,0.85874,0.85895,0.71602,0.78517,0.82335,3.1354434192180634,1.3358530700206757
