dropout,noise,lr,batch_size,temperature,loss,val_loss,res,clusters,NMI final,ARI final,CA final,val_NMI final,val_ARI final,val_CA final,final_loss,final_val_loss
0.1,0,0.4,512,0.07,"[63.97740840911865, 52.37141156196594, 38.77553153038025, 25.860406637191772, 18.38092589378357, 13.506195783615112, 10.364851653575897, 8.681965351104736, 7.57840883731842, 6.6477373242378235, 6.049764424562454, 5.4153405129909515, 5.0017251670360565, 4.658455938100815, 4.496094822883606, 4.310001403093338, 4.139470249414444, 3.9749220311641693, 3.9989755153656006, 3.808403268456459, 3.7897974252700806, 3.7527823448181152, 3.7293807715177536, 3.737958699464798, 3.7011403292417526, 3.639777824282646, 3.7296074628829956, 3.7591642588377, 3.697268307209015, 3.6757994890213013, 3.6252586245536804]","[13.90712022781372, 10.782061576843262, 7.414942264556885, 5.1299067735672, 3.8085038661956787, 2.9516587257385254, 2.5459325313568115, 2.237182706594467, 2.083070546388626, 1.7927581369876862, 1.763541340827942, 1.669422835111618, 1.5472812950611115, 1.5030043125152588, 1.442067801952362, 1.4203085899353027, 1.3758302330970764, 1.3460458815097809, 1.357047289609909, 1.3356210589408875, 1.332343429327011, 1.3239426612854004, 1.2923516929149628, 1.2961317598819733, 1.3005887866020203, 1.3164841830730438, 1.2228167951107025, 1.33215993642807, 1.30155548453331, 1.3224743902683258, 1.315900593996048]",0.4,4,0.6404,0.64759,0.75492,0.60203,0.62645,0.74553,3.6252586245536804,1.315900593996048
0.1,0,0.4,512,0.07,"[62.91928720474243, 49.51715898513794, 35.74263119697571, 23.73112118244171, 16.194258868694305, 11.780559659004211, 9.238603472709656, 7.703291118144989, 6.582169055938721, 5.950510680675507, 5.426368981599808, 4.8678103387355804, 4.575947970151901, 4.265732318162918, 4.040289998054504, 3.913084328174591, 3.8200535029172897, 3.6768248826265335, 3.595708653330803, 3.487442299723625, 3.498403415083885, 3.438011959195137, 3.362238198518753, 3.3583685904741287, 3.443684011697769, 3.288782924413681, 3.368679702281952, 3.3611177653074265, 3.300513356924057, 3.355829268693924, 3.3925538659095764, 3.3124403953552246, 3.3552915304899216, 3.263915315270424]","[13.373516082763672, 9.97595500946045, 6.689096927642822, 4.675722360610962, 3.462487578392029, 2.709359288215637, 2.305724263191223, 2.017612546682358, 1.8612518012523651, 1.6875499188899994, 1.6676040589809418, 1.5109445452690125, 1.49119633436203, 1.381133258342743, 1.2903720438480377, 1.3006443679332733, 1.234212189912796, 1.2367694079875946, 1.2106437683105469, 1.2176916003227234, 1.1875370740890503, 1.1959955990314484, 1.2005732357501984, 1.167483612895012, 1.1764344573020935, 1.1549016535282135, 1.171686977148056, 1.1989818513393402, 1.185300588607788, 1.1470502614974976, 1.2009501159191132, 1.155572533607483, 1.1753688752651215, 1.200999766588211]",0.4,4,0.62696,0.61594,0.74592,0.65522,0.65931,0.76187,3.263915315270424,1.200999766588211
0.1,0,0.4,512,0.07,"[60.76073932647705, 42.422364234924316, 26.304001927375793, 16.94592809677124, 11.779491424560547, 8.705536931753159, 6.790622174739838, 5.493662595748901, 4.750266373157501, 4.238646328449249, 3.844700336456299, 3.518598288297653, 3.3217324763536453, 3.1071774810552597, 2.9619104117155075, 2.8705012500286102, 2.815568834543228, 2.7516954243183136, 2.6912404000759125, 2.593653380870819, 2.6057267636060715, 2.6028001606464386]","[12.23235273361206, 7.654719591140747, 4.940570831298828, 3.5349010825157166, 2.6473748683929443, 2.0968454778194427, 1.8339462876319885, 1.4815955758094788, 1.385747343301773, 1.2804933786392212, 1.303738921880722, 1.171871930360794, 1.1353337168693542, 1.0693632513284683, 1.0287437438964844, 1.0157916843891144, 1.0348061621189117, 0.9418645352125168, 0.9697141200304031, 0.9845060110092163, 1.020426020026207, 0.9483695477247238]",0.5,5,0.66444,0.69087,0.78276,0.62635,0.65685,0.76498,2.6028001606464386,0.9483695477247238
0.1,0,0.4,512,0.07,"[63.58689260482788, 50.269405364990234, 38.261310338974, 28.5256210565567, 20.191977739334106, 14.31631863117218, 10.888153195381165, 8.776289403438568, 7.6786554753780365, 6.778145432472229, 6.340906113386154, 5.871508151292801, 5.486888349056244, 5.121855586767197, 4.891921252012253, 4.5786221623420715, 4.487253755331039, 4.353398710489273, 4.252695232629776, 4.131609320640564, 4.0072773694992065, 4.072672724723816, 3.9013712406158447]","[13.623993873596191, 10.359667301177979, 7.673901796340942, 5.5871806144714355, 4.053210139274597, 3.24866259098053, 2.726806104183197, 2.4173866510391235, 2.1738818287849426, 2.0025618374347687, 1.95720174908638, 1.8465277254581451, 1.758029729127884, 1.7359745800495148, 1.5591824352741241, 1.5640298426151276, 1.586702585220337, 1.524629384279251, 1.4357369244098663, 1.4999748468399048, 1.4385586380958557, 1.4380227625370026, 1.4536102414131165]",0.5,5,0.65478,0.68533,0.77959,0.65732,0.69681,0.77743,3.9013712406158447,1.4536102414131165
0.2,0,0.4,512,0.07,"[41.9939820766449, 22.081836700439453, 15.743075013160706, 12.35363394021988, 10.211637020111084, 8.718761265277863, 7.668392241001129, 6.929445862770081, 6.291518181562424, 5.929027408361435, 5.492754340171814, 5.202843576669693, 4.908575177192688, 4.762495040893555, 4.584560722112656, 4.441045582294464, 4.270840972661972, 4.1649191081523895]","[6.531277418136597, 4.542747735977173, 3.716119408607483, 3.1258813738822937, 2.809705078601837, 2.610105514526367, 2.3487667441368103, 2.2082022428512573, 2.06654754281044, 1.9836898446083069, 1.8756061792373657, 1.8804896473884583, 1.844295471906662, 1.6870585978031158, 1.7684808671474457, 1.758896380662918, 1.6925515234470367, 1.689645528793335]",0.3,6,0.84593,0.90173,0.88096,0.72122,0.77547,0.82179,4.1649191081523895,1.689645528793335
0.2,0,0.4,512,0.07,"[47.329742431640625, 26.237796545028687, 17.967707633972168, 14.003036499023438, 11.313952565193176, 9.663225173950195, 8.276326894760132, 7.529935956001282, 6.935480445623398, 6.455311566591263, 5.8296812772750854, 5.431465953588486, 5.13444858789444, 4.995124071836472, 4.740646839141846, 4.623640179634094, 4.477470695972443, 4.222959488630295, 4.398845046758652, 4.179410427808762, 4.135022699832916, 3.9785724580287933, 4.057276517152786, 4.027593821287155, 4.01531195640564, 3.9171155095100403, 3.966355800628662, 3.9334405958652496, 3.970893368124962]","[7.506335020065308, 5.321410655975342, 4.085193634033203, 3.3932058215141296, 2.97749000787735, 2.6062779426574707, 2.52681428194046, 2.2830893993377686, 2.1132724285125732, 2.211656928062439, 1.9746357202529907, 1.8794547021389008, 1.9108278155326843, 1.8308298587799072, 1.777822881937027, 1.6607175171375275, 1.770997703075409, 1.610585629940033, 1.6492992341518402, 1.65034419298172, 1.5879932045936584, 1.6328584849834442, 1.6728916466236115, 1.6815583109855652, 1.5576744079589844, 1.5977928638458252, 1.634566068649292, 1.5963501334190369, 1.6148114204406738]",0.3,6,0.83669,0.89474,0.87879,0.69061,0.7609,0.81323,3.970893368124962,1.6148114204406738
0.2,0,0.4,512,0.07,"[41.32872414588928, 21.246540546417236, 15.307813286781311, 11.747445821762085, 10.12603497505188, 8.558831870555878, 7.586517125368118, 6.917186468839645, 6.425422221422195, 5.909274637699127, 5.548275202512741, 5.2378349006175995, 4.9749676287174225, 4.780438125133514, 4.5087767243385315, 4.417608797550201, 4.400418311357498, 4.271719962358475, 4.202573835849762, 4.022648200392723, 3.9764999747276306, 4.029731333255768, 3.9888595044612885, 3.9573113322257996]","[6.381814241409302, 4.518720626831055, 3.741849184036255, 3.2468866109848022, 2.884446144104004, 2.614599347114563, 2.4208147525787354, 2.3110867738723755, 2.068776249885559, 2.0904919505119324, 1.9911333620548248, 2.0112472772598267, 1.840152084827423, 1.9237541556358337, 1.8365527987480164, 1.8515081405639648, 1.7633351683616638, 1.6913543939590454, 1.7212094962596893, 1.5688765943050385, 1.6444531679153442, 1.68014857172966, 1.7715588212013245, 1.7174932658672333]",0.4,6,0.8491,0.90087,0.88296,0.75239,0.817,0.84125,3.9573113322257996,1.7174932658672333
0.2,0,0.4,512,0.07,"[43.44379019737244, 22.962658762931824, 15.893157839775085, 12.639882445335388, 10.336812317371368, 8.949793219566345, 7.849422872066498, 6.949318677186966, 6.30913832783699, 5.891315221786499, 5.586899608373642, 5.162256121635437, 4.941754072904587, 4.583051085472107, 4.45544570684433, 4.422867298126221, 4.220763236284256, 4.103387236595154, 4.094881847500801, 4.0008494555950165, 3.953651547431946, 3.859690174460411, 3.86259189248085, 3.8671567142009735, 3.8040290027856827, 3.72608482837677, 3.761693447828293, 3.8034476935863495]","[6.856739640235901, 4.661709189414978, 3.8551108837127686, 3.2315468192100525, 2.875222623348236, 2.5837591886520386, 2.2984278798103333, 2.217102348804474, 2.101524293422699, 1.980044573545456, 1.9926195740699768, 1.865081399679184, 1.7283916473388672, 1.7363073229789734, 1.701133131980896, 1.733935534954071, 1.666258156299591, 1.7654564678668976, 1.6262730360031128, 1.605065256357193, 1.6542187333106995, 1.615398794412613, 1.6010242998600006, 1.5318404734134674, 1.5429866313934326, 1.5931565761566162, 1.6498533189296722, 1.5341946482658386]",0.3,6,0.84986,0.90608,0.88313,0.71564,0.76975,0.82101,3.8034476935863495,1.5341946482658386
0.3,0,0.4,512,0.07,"[57.88019585609436, 40.86651945114136, 32.07957887649536, 26.137348413467407, 22.5420264005661, 20.127527117729187, 17.789520978927612, 16.742398023605347, 15.41759181022644, 14.333153009414673, 13.519750952720642, 12.878532111644745, 12.248570322990417, 11.851926386356354, 11.474805116653442, 11.251407504081726, 10.694831728935242, 10.78657853603363, 10.529853701591492, 10.278022646903992, 10.221259534358978, 10.276641964912415, 10.007813394069672, 10.068216264247894, 10.00627464056015, 10.087890565395355, 10.050580561161041, 9.925796568393707, 10.032726287841797, 9.746439754962921, 10.001057744026184, 9.959071457386017, 9.824021339416504]","[11.167069911956787, 8.853404760360718, 7.2014195919036865, 6.364334464073181, 5.630305528640747, 5.163360834121704, 4.917802333831787, 4.445403337478638, 4.384777784347534, 4.125813603401184, 4.132812738418579, 3.898193836212158, 4.020470857620239, 3.8889975547790527, 3.775140166282654, 3.69165962934494, 3.640676200389862, 3.609399676322937, 3.6575204133987427, 3.612456738948822, 3.46201092004776, 3.627512514591217, 3.481315493583679, 3.5810739398002625, 3.4356340765953064, 3.499503970146179, 3.4661479592323303, 3.5726541876792908, 3.371252477169037, 3.560951888561249, 3.479120671749115, 3.380866765975952, 3.5071634650230408]",0.2,6,0.84736,0.89929,0.87096,0.80863,0.86865,0.85914,9.824021339416504,3.5071634650230408
0.3,0,0.4,512,0.07,"[47.62822413444519, 30.894194722175598, 24.721919417381287, 21.40131986141205, 18.54964590072632, 17.035780906677246, 15.475666880607605, 14.405080318450928, 13.306066274642944, 12.737755239009857, 11.87492173910141, 11.538030207157135, 11.026329815387726, 10.49582588672638, 10.335745751857758, 10.087674140930176, 9.923724174499512, 9.682484686374664, 9.403487980365753, 9.469474911689758, 9.098401844501495, 8.976688027381897, 9.026348769664764, 8.97418749332428, 8.765959739685059]","[8.542006015777588, 6.811379790306091, 5.896293997764587, 5.306154251098633, 4.880321741104126, 4.559588432312012, 4.339328050613403, 4.317608952522278, 3.9171929359436035, 3.960383415222168, 3.6340569853782654, 3.66300106048584, 3.5198457837104797, 3.4489241242408752, 3.528259515762329, 3.3598520159721375, 3.3151448369026184, 3.3021402955055237, 3.342330813407898, 3.2142432928085327, 3.12504118680954, 3.292891502380371, 3.2528185844421387, 3.184838056564331, 3.2080858945846558]",0.3,7,0.87113,0.92236,0.89296,0.76115,0.81996,0.8428,8.765959739685059,3.2080858945846558
