dropout,noise,lr,batch_size,temperature,loss,val_loss,res,clusters,NMI final,ARI final,CA final,val_NMI final,val_ARI final,val_CA final,final_loss,final_val_loss
0.6,0.5,0.8,128,0.7,"[2231.880401611328, 2138.2250785827637, 2103.7844581604004, 2084.9689598083496, 2073.7247276306152, 2066.45512008667, 2062.7492637634277, 2060.9103927612305, 2057.415069580078, 2056.1162300109863]","[471.1025342941284, 465.74969387054443, 457.0146589279175, 452.26200675964355, 451.65078353881836, 449.00190925598145, 453.34092903137207, 450.1081714630127, 453.49672412872314, 450.39705181121826]",0.04,6,0.83356,0.8772,0.86112,0.70751,0.66475,0.77043,2056.1162300109863,450.39705181121826
0.2,0,0.3,32,0.7,"[5701.998727798462, 5399.241123199463, 5362.554235458374, 5339.477853775024, 5329.9758014678955, 5315.119024276733, 5311.748777389526, 5302.62237739563, 5298.447601318359, 5294.664695739746, 5293.103715896606, 5285.6319942474365, 5289.440784454346, 5284.724086761475, 5280.183082580566]","[1170.0200023651123, 1156.7138452529907, 1152.8056678771973, 1146.5879440307617, 1146.347315788269, 1146.3898849487305, 1144.3359642028809, 1142.5779552459717, 1141.743646621704, 1143.5705785751343, 1138.900369644165, 1140.290415763855, 1139.5252113342285, 1139.7223844528198, 1139.7287883758545]",0.06,5,0.71856,0.68013,0.78376,0.57517,0.57365,0.72918,5280.183082580566,1139.7287883758545
0.7,0.5,0.3,32,0.2,"[1318.6898436546326, 1047.1488564014435, 957.8209419250488, 908.8107767105103, 876.3058433532715, 850.4426612854004, 822.9861972332001, 816.9466531276703, 803.7103469371796, 802.4238996505737, 785.8729619979858, 770.4466280937195, 768.3316006660461, 759.8876603841782, 762.6698594093323, 747.4056780338287, 745.8072961568832, 729.7723965644836, 727.7372798919678, 730.7083764076233, 716.5447356700897, 721.471738576889]","[240.0806143283844, 216.72665131092072, 201.08554637432098, 198.78750097751617, 188.48826624453068, 187.4867972433567, 184.4863274693489, 179.55369536578655, 181.63945937156677, 176.71857833862305, 176.8705996274948, 173.88944226503372, 174.02573418617249, 173.10657942295074, 169.56573924422264, 169.8568313717842, 166.46639466285706, 165.65719294548035, 167.78107857704163, 167.8488233089447, 166.47081017494202, 166.9673821181059]",0.05,6,0.85143,0.86279,0.7896,0.76453,0.78974,0.75564,721.471738576889,166.9673821181059
0.5,0.1,0.8,64,0.05,"[100.11232060194016, 47.92353290319443, 33.132871836423874, 26.008258424699306, 22.112240314483643, 20.313975490629673, 16.69395199418068, 14.53645122796297, 14.116483472287655, 12.566665410995483, 11.64477489516139, 10.419857032597065, 10.330294214189053, 10.467783853411674, 9.1059590280056, 8.936517547816038, 8.282744068652391, 7.915636155754328, 7.583928067237139, 7.801587434485555, 7.268530901521444, 7.2184219397604465, 7.028320949524641, 7.2366892993450165, 6.676949560642242, 6.122781861573458, 6.420482434332371, 6.695427045226097, 6.117255387827754, 6.101884499192238, 5.738561345264316, 5.9567801132798195]","[14.640116557478905, 9.753605310406783, 7.8111253146780655, 6.777694076299667, 5.677253278205171, 5.72850744851894, 5.446752869756892, 5.149916427501012, 4.956021713359405, 4.390089456524038, 4.7163525522337295, 4.6929196374549065, 4.0827078116708435, 4.38524351375446, 3.8394007565730135, 3.7966422417375725, 4.102983593969839, 4.029786478196911, 3.638017289340496, 3.8478327063576216, 3.7625169296225067, 3.4473653616732918, 3.228777495882241, 3.7008269141770143, 3.4979271164993406, 3.1960253513316275, 3.477669724396037, 2.889340631678351, 3.294531404040754, 3.3341015524092654, 3.1505151353776455, 3.041372144860361]",0.4,7,0.83477,0.89002,0.87863,0.74489,0.79437,0.83346,5.9567801132798195,3.041372144860361
0.5,0.1,0.4,128,0.01,"[20.631693929433823, 10.949894398450851, 7.361147694289684, 5.545195549726486, 4.624317720532417, 3.8071199283003807, 3.072152480483055, 2.954998265951872, 2.5350954830646515, 2.354537609964609, 2.057352963835001, 2.0103968158364296, 1.910842640325427, 1.7745375875383615, 1.6071220319718122, 1.5409466847777367, 1.565173864364624, 1.3376694032922387, 1.3179275877773762, 1.2858954099938273, 1.197666859254241, 1.204704095609486, 1.139534822665155, 1.099765065126121, 1.0460488442331553, 1.086713066790253, 1.04123461432755, 0.9331722240895033, 1.0102957431226969, 0.9788429019972682, 0.9392918767407537, 1.0064760502427816, 0.8290553828701377, 0.8341804281808436, 0.8449035258963704, 0.8664339906536043, 0.7825054675340652, 0.7628122847527266, 0.6898286007344723, 0.6950404192321002, 0.7311091320589185, 0.6916436832398176, 0.7588427537120879, 0.6863924167118967, 0.6276319245807827]","[3.017508522956632, 2.1529427724235575, 1.465660609304905, 1.2290317341685295, 1.0739553447281764, 0.8518530494400807, 0.8270379326174861, 0.7739957650192082, 0.7849277692181733, 0.7485514457736677, 0.7377121472997334, 0.7131682044693406, 0.6599451005458832, 0.6126833421843969, 0.6890215152076351, 0.6237979233264923, 0.6286771121834036, 0.6095497272908688, 0.578882795147365, 0.6611923724412918, 0.5454586893320084, 0.6141731258976506, 0.6103419351790613, 0.5849843993782997, 0.5326954610645771, 0.5379079654812813, 0.5658527438129717, 0.4703371567917731, 0.5538422255643738, 0.45763719257956836, 0.5215091146528721, 0.5619508723063138, 0.5066813913839194, 0.4431379163903859, 0.46481236442923546, 0.5047610364854336, 0.47467740752867194, 0.41838296992438373, 0.5328401513397694, 0.501794761632171, 0.4076251115117735, 0.4775286859699861, 0.42611319199204445, 0.5145455659500229, 0.46737927733920515]",0.3,7,0.83122,0.88347,0.87446,0.72178,0.75658,0.8179,0.6276319245807827,0.46737927733920515
0.3,0.01,0.5,128,0.7,"[2247.9776496887207, 2070.4138984680176, 2046.0667457580566, 2035.0059661865234, 2027.3862113952637, 2023.2834663391113, 2019.8522605895996, 2017.0864219665527, 2014.3931694030762, 2008.8170547485352, 2005.146572113037, 2002.5541763305664, 2000.78515625, 1999.411506652832, 1998.4057350158691, 1997.7988815307617, 1995.9125480651855, 1994.2974700927734, 1994.3169059753418, 1993.4335250854492, 1991.776710510254, 1990.5874862670898, 1989.5493125915527, 1989.419345855713, 1989.2918701171875, 1988.0667152404785]","[458.22878646850586, 447.90455436706543, 444.03343391418457, 441.8511257171631, 440.9346561431885, 440.76036262512207, 443.15980434417725, 439.3266820907593, 438.9310817718506, 436.8147258758545, 437.89295387268066, 437.41041374206543, 435.3464231491089, 436.8553066253662, 435.841082572937, 434.9195728302002, 437.7967538833618, 434.49107551574707, 434.16465854644775, 435.5943202972412, 434.9421863555908, 433.7174472808838, 434.47453117370605, 434.3239736557007, 436.10304737091064, 433.8825626373291]",0.07,7,0.85916,0.90731,0.9003,0.7112,0.7379,0.81245,1988.0667152404785,433.8825626373291
0.5,0.05,0.5,64,0.01,"[25.09724848717451, 11.41249319165945, 7.904786974191666, 6.3474280796945095, 4.948660723865032, 4.074316277168691, 3.9618261586874723, 3.758867360651493, 3.2928875791840255, 3.0733200539834797, 2.7827778393402696, 2.752153091132641, 2.399308357387781, 2.4711672365665436, 2.4649850358255208, 2.3123123655095696, 2.0999376862309873, 1.9831184167414904]","[3.2362698239940073, 2.156040295958519, 1.7712396768592953, 1.5278121740702773, 1.2216538730481261, 1.2585424693567422, 1.250440623025808, 1.2702524475753307, 1.0697265608502295, 1.1716103415456018, 0.9717172428433365, 0.9591527935117483, 0.9021382186328992, 0.7852753063131637, 0.8879193235188723, 0.8336451946624734, 0.9452784595744941, 0.8039159555919468]",0.2,6,0.80914,0.86484,0.85845,0.62738,0.63244,0.75331,1.9831184167414904,0.8039159555919468
0.5,0.5,0.7,256,0.05,"[81.18653106689453, 62.899399280548096, 51.49654960632324, 41.89138102531433, 35.59453135728836, 30.91128182411194, 27.20645922422409, 24.00534039735794, 22.41927444934845, 20.637641847133636, 19.3950974047184, 18.122716456651688, 17.043850988149643, 16.217572301626205, 15.462493270635605, 14.779624670743942, 14.36458545923233, 13.170547008514404, 13.368003129959106, 12.824218541383743, 12.404296815395355, 12.211551547050476, 11.828300476074219, 11.78378838300705, 11.292773634195328, 11.093853741884232, 11.064229756593704, 10.54407761991024, 10.18245729804039, 10.174294009804726, 10.21946607530117, 10.134469747543335, 9.535414546728134, 9.670393913984299, 9.154492601752281, 9.32923536002636, 9.40217250585556, 8.894363343715668, 8.619765132665634, 8.694604247808456, 8.445882961153984, 8.463061958551407, 8.711147084832191, 8.15066808462143, 8.13822554051876, 8.170065432786942, 7.913940489292145, 7.972275719046593, 7.7845842987298965, 7.765801727771759, 7.398823380470276]","[14.72616283595562, 12.313077852129936, 10.363248333334923, 8.723866533488035, 7.6586953997612, 6.569401025772095, 6.522123660892248, 6.075793760163833, 5.788590516362774, 5.411065902095288, 5.273417523829266, 5.0889129973948, 4.89872484546504, 4.816740725713316, 4.755082522120574, 4.622944908482168, 4.5894086211919785, 4.540287068113685, 4.541483087199595, 4.222111225128174, 4.439893731061602, 4.282850640156539, 4.034526705741882, 4.112512562976917, 4.01884040661389, 3.9806869711201216, 3.9432706739753485, 4.092734319798183, 4.0586529821157455, 3.960106151445416, 3.918335003501852, 3.8872864954173565, 3.9169957382255234, 3.816683743680187, 3.945023562235292, 3.9213977881845494, 3.7344118612236343, 3.7338356290542833, 3.7246909822736143, 3.620702549815178, 3.5798681378437323, 3.5487188186016283, 3.6040937474754173, 3.5543423635645013, 3.4892478585243225, 3.5042626857758705, 3.4612787279766053, 3.6854943292473763, 3.5291306206127047, 3.5919802356511354, 3.8495436055527534]",0.2,4,0.72532,0.71459,0.77826,0.65226,0.67447,0.76732,7.398823380470276,3.8495436055527534
0.8,0.01,4.0,1024,0.05,"[33.89587926864624, 32.12884998321533, 31.846179485321045, 31.444796562194824, 30.950564861297607, 30.399850845336914, 29.966183185577393, 29.624244213104248, 29.365478992462158, 29.122642517089844, 28.832541465759277, 28.602394580841064, 28.31000280380249, 28.051021099090576, 27.833341121673584, 27.492257595062256, 27.169074058532715, 26.921141147613525, 26.655662059783936, 26.334237098693848, 26.171630382537842, 25.94187307357788, 25.804245471954346, 25.616119384765625, 25.424529552459717, 25.30239772796631, 25.16993761062622, 25.041836738586426, 24.912457942962646, 24.789047718048096, 24.626425743103027, 24.55813503265381, 24.494921684265137, 24.374107360839844, 24.242782831192017, 24.225642204284668, 24.0575590133667, 24.000644207000732, 23.914376497268677, 23.759332180023193, 23.746835231781006, 23.756567239761353, 23.59723734855652, 23.494169235229492, 23.33787178993225, 23.247260570526123, 23.243207931518555, 23.16351866722107, 23.086612224578857, 23.055861473083496, 22.96418833732605, 22.88594961166382, 22.851124048233032, 22.828629732131958, 22.692071437835693, 22.691141366958618, 22.62448525428772, 22.55316925048828, 22.53483295440674, 22.571648597717285]","[9.801494121551514, 9.72544240951538, 9.598596572875977, 9.449024677276611, 9.264024257659912, 9.08083438873291, 9.002312183380127, 8.903741836547852, 8.767074346542358, 8.6834077835083, 8.611006259918213, 8.535405158996582, 8.389230489730835, 8.399565935134888, 8.371067762374878, 8.173933744430542, 8.000243663787842, 7.975067138671875, 7.880754470825195, 7.867882490158081, 7.787350177764893, 7.644787311553955, 7.58073091506958, 7.579266786575317, 7.553182125091553, 7.465444087982178, 7.508847236633301, 7.480881690979004, 7.390463590621948, 7.31582236289978, 7.357089519500732, 7.247685194015503, 7.229323863983154, 7.157247304916382, 7.123534202575684, 7.153491497039795, 7.080867052078247, 7.028366327285767, 7.088181495666504, 6.917248964309692, 7.0432493686676025, 6.99568772315979, 6.896159887313843, 6.886731147766113, 6.9433722496032715, 6.900308609008789, 6.791847467422485, 6.829387903213501, 6.772406339645386, 6.749181509017944, 6.723726511001587, 6.737713575363159, 6.734728813171387, 6.6809117794036865, 6.682493686676025, 6.754098176956177, 6.731648683547974, 6.655263900756836, 6.671457290649414, 6.6038947105407715]",0.1,6,0.85115,0.90825,0.88013,0.80316,0.86603,0.86304,22.571648597717285,6.6038947105407715
0.1,0.1,0.6,512,0.2,"[214.93883514404297, 206.81912326812744, 188.08598136901855, 173.50396347045898, 158.87796020507812, 146.3193235397339, 138.27986526489258, 133.24426555633545, 129.41238975524902, 127.11851501464844, 124.43659019470215, 122.43716049194336, 121.40163898468018, 120.30225849151611, 118.55852127075195, 116.6705265045166, 115.20160388946533, 113.85887336730957, 112.31525230407715, 111.36998653411865, 110.53140926361084, 109.34807872772217, 108.1553955078125, 107.10333061218262, 105.86486482620239, 105.01477241516113, 104.1185827255249, 103.3758749961853, 102.78143072128296, 102.06124782562256, 101.4837965965271, 101.25636005401611, 100.94089555740356, 100.55846548080444, 100.31743907928467, 100.01808261871338, 99.8690767288208, 99.5344729423523, 99.37480640411377, 99.27212572097778, 99.07576322555542, 98.9712233543396, 98.84260749816895, 98.90714263916016, 98.58125734329224, 98.58238172531128, 98.4926962852478, 98.46496152877808, 98.19313669204712, 97.88534688949585, 97.77612972259521, 97.51969718933105, 97.50392484664917, 97.33629608154297, 97.35472393035889, 97.23245573043823, 97.06331586837769, 96.96169710159302, 96.96391725540161, 96.79220581054688]","[51.21108150482178, 48.02889823913574, 42.970520973205566, 39.86611843109131, 36.266042709350586, 33.83650493621826, 32.25980281829834, 31.28292942047119, 30.59653091430664, 30.013782501220703, 29.49003791809082, 29.121026039123535, 29.020036697387695, 28.656588554382324, 28.186817169189453, 27.785752296447754, 27.574118614196777, 27.17047882080078, 26.833873748779297, 26.680731296539307, 26.366446495056152, 26.14389657974243, 25.81941032409668, 25.54390573501587, 25.29075002670288, 25.130391120910645, 24.96438455581665, 24.846108436584473, 24.699204444885254, 24.53993272781372, 24.499059200286865, 24.371870040893555, 24.403741359710693, 24.184597969055176, 24.172839641571045, 24.195135593414307, 24.07761526107788, 24.032525539398193, 24.0501708984375, 23.942715167999268, 23.961514949798584, 23.924126625061035, 23.85629653930664, 23.972317218780518, 23.76416778564453, 23.78879976272583, 23.786828994750977, 23.72309112548828, 23.712761878967285, 23.65231990814209, 23.625951290130615, 23.65578031539917, 23.544577598571777, 23.54411029815674, 23.620068550109863, 23.59557819366455, 23.43369197845459, 23.491589546203613, 23.435551643371582, 23.47762680053711]",0.5,7,0.83426,0.8848,0.8883,0.79526,0.85188,0.86615,96.79220581054688,23.47762680053711
