arch_name,arch,size_latent_space,res,clusters,weight,NMI,ARI,CA,val_NMI,val_ARI,val_CA,loss,val_loss,clustering_loss,val_clustering_loss,zinb_loss,val_zinb_loss,CA_initial,ARI_initial,NMI_initial,val_CA_initial,val_ARI_initial,val_NMI_initial,training_time,nbr_iteration,CA_final,ARI_final,NMI_final,val_CA_final,val_ARI_final,val_NMI_final
encoder_only,"[256, 64, 32]",32,0.07,6,1.0,"[0.85702, 0.86421, 0.86146, 0.85838, 0.85796, 0.85947, 0.85703, 0.85853]","[0.9099, 0.91263, 0.90869, 0.90283, 0.90115, 0.90113, 0.8987, 0.89891]","[0.88038, 0.88038, 0.87775, 0.87527, 0.8744, 0.8744, 0.87323, 0.87309]","[0.83566, 0.85097, 0.85428, 0.85573, 0.84983, 0.86324, 0.85463, 0.85605]","[0.88443, 0.89352, 0.89519, 0.89578, 0.89217, 0.90586, 0.89448, 0.89442]","[0.87106, 0.87281, 0.87223, 0.87223, 0.87106, 0.87748, 0.87281, 0.87281]","[0.18313248455524445, 0.132589191198349, 0.07027346640825272, 0.051077697426080704, 0.04990062490105629, 0.061332132667303085, 0.05272457376122475, 0.03183314576745033]","[0.18496310710906982, 0.1332828551530838, 0.08673246204853058, 0.0770285576581955, 0.07840454578399658, 0.07789023220539093, 0.08434495329856873, 0.07027637213468552]","[0.18313248455524445, 0.132589191198349, 0.07027346640825272, 0.051077697426080704, 0.04990062490105629, 0.061332132667303085, 0.05272457376122475, 0.03183314576745033]","[0.18496310710906982, 0.1332828551530838, 0.08673246204853058, 0.0770285576581955, 0.07840454578399658, 0.07789023220539093, 0.08434495329856873, 0.07027637213468552]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.88038,0.9099,0.85702,0.87106,0.88443,0.83566,721,189,0.87309,0.89891,0.85853,0.87281,0.89442,0.85605
encoder_only,"[256, 64, 32]",32,0.09,7,1.0,"[0.8727, 0.87474, 0.8678, 0.85962, 0.85553, 0.8551, 0.85351, 0.85167, 0.85141, 0.85086]","[0.92026, 0.91587, 0.90738, 0.89465, 0.88972, 0.88942, 0.88855, 0.88557, 0.88469, 0.88414]","[0.88534, 0.8833, 0.87921, 0.87323, 0.87017, 0.87002, 0.86958, 0.86813, 0.86754, 0.86725]","[0.85358, 0.85658, 0.86127, 0.86088, 0.85489, 0.85898, 0.85734, 0.85387, 0.84751, 0.8501]","[0.90082, 0.89671, 0.89518, 0.89604, 0.88903, 0.89519, 0.89164, 0.88398, 0.87659, 0.88382]","[0.87865, 0.87573, 0.8769, 0.87631, 0.87223, 0.87515, 0.8734, 0.86931, 0.86639, 0.86931]","[0.1806909292936325, 0.15487776696681976, 0.0926755964756012, 0.06782422959804535, 0.0625193789601326, 0.072575144469738, 0.05652569979429245, 0.06197585538029671, 0.0388544425368309, 0.04897051677107811]","[0.18631699681282043, 0.15492983162403107, 0.1058211699128151, 0.09134908020496368, 0.09239864349365234, 0.09619054943323135, 0.08961835503578186, 0.09663459658622742, 0.08417557924985886, 0.09221453219652176]","[0.1806909292936325, 0.15487776696681976, 0.0926755964756012, 0.06782422959804535, 0.0625193789601326, 0.072575144469738, 0.05652569979429245, 0.06197585538029671, 0.0388544425368309, 0.04897051677107811]","[0.18631699681282043, 0.15492983162403107, 0.1058211699128151, 0.09134908020496368, 0.09239864349365234, 0.09619054943323135, 0.08961835503578186, 0.09663459658622742, 0.08417557924985886, 0.09221453219652176]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88534,0.92026,0.8727,0.87865,0.90082,0.85358,791,243,0.86725,0.88414,0.85086,0.86931,0.88382,0.8501
encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.8723, 0.8692, 0.86617, 0.85762, 0.85469, 0.85284, 0.85136, 0.85017, 0.84988]","[0.91851, 0.91231, 0.90536, 0.89283, 0.89014, 0.88825, 0.88584, 0.88432, 0.88378]","[0.88432, 0.88184, 0.87848, 0.8725, 0.87075, 0.86973, 0.86856, 0.86769, 0.8674]","[0.86272, 0.85727, 0.863, 0.85534, 0.85714, 0.85777, 0.85622, 0.85367, 0.85408]","[0.90418, 0.89586, 0.89709, 0.88937, 0.89194, 0.89525, 0.89152, 0.88786, 0.89079]","[0.87981, 0.87515, 0.8769, 0.87281, 0.8734, 0.87456, 0.8734, 0.87165, 0.87223]","[0.18882764875888824, 0.1522165834903717, 0.08874794840812683, 0.0673421323299408, 0.059017784893512726, 0.06251365691423416, 0.06787215173244476, 0.04869060963392258, 0.04291316494345665]","[0.19215284287929535, 0.15336865186691284, 0.10373829305171967, 0.09248552471399307, 0.08429315686225891, 0.08733944594860077, 0.09943471103906631, 0.085146963596344, 0.08401080965995789]","[0.18882764875888824, 0.1522165834903717, 0.08874794840812683, 0.0673421323299408, 0.059017784893512726, 0.06251365691423416, 0.06787215173244476, 0.04869060963392258, 0.04291316494345665]","[0.19215284287929535, 0.15336865186691284, 0.10373829305171967, 0.09248552471399307, 0.08429315686225891, 0.08733944594860077, 0.09943471103906631, 0.085146963596344, 0.08401080965995789]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88432,0.91851,0.8723,0.87981,0.90418,0.86272,756,216,0.8674,0.88378,0.84988,0.87223,0.89079,0.85408
encoder_only,"[256, 64, 32]",32,0.05,6,1.0,"[0.86677, 0.8678, 0.86947, 0.86866, 0.86794, 0.86667, 0.86482]","[0.91471, 0.91295, 0.91307, 0.91121, 0.90905, 0.90768, 0.90571]","[0.88096, 0.87936, 0.87907, 0.87819, 0.87717, 0.87659, 0.87571]","[0.84367, 0.85196, 0.86081, 0.86457, 0.86323, 0.86891, 0.86663]","[0.89451, 0.89419, 0.90073, 0.90508, 0.90599, 0.91081, 0.91038]","[0.87398, 0.87165, 0.87515, 0.8769, 0.8769, 0.87923, 0.87865]","[0.17850449681282043, 0.15244491398334503, 0.08945967257022858, 0.06844443082809448, 0.06843915581703186, 0.058388032019138336, 0.07088342308998108]","[0.1832902878522873, 0.15322117507457733, 0.10577546805143356, 0.09408941119909286, 0.08857324719429016, 0.08372421562671661, 0.0974847823381424]","[0.17850449681282043, 0.15244491398334503, 0.08945967257022858, 0.06844443082809448, 0.06843915581703186, 0.058388032019138336, 0.07088342308998108]","[0.1832902878522873, 0.15322117507457733, 0.10577546805143356, 0.09408941119909286, 0.08857324719429016, 0.08372421562671661, 0.0974847823381424]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",0.88096,0.91471,0.86677,0.87398,0.89451,0.84367,617,162,0.87571,0.90571,0.86482,0.87865,0.91038,0.86663
encoder_only,"[256, 64, 32]",32,0.05,7,1.0,"[0.87509, 0.87258, 0.87132, 0.86953, 0.86612, 0.86484, 0.86308, 0.86334]","[0.92003, 0.91332, 0.91076, 0.90757, 0.90276, 0.90125, 0.89902, 0.89856]","[0.88724, 0.88373, 0.88184, 0.88009, 0.8779, 0.87717, 0.87629, 0.87615]","[0.85665, 0.85372, 0.85553, 0.86168, 0.86251, 0.86303, 0.86125, 0.86223]","[0.9005, 0.88998, 0.8898, 0.89415, 0.89449, 0.8969, 0.89876, 0.89505]","[0.8804, 0.87456, 0.87398, 0.87515, 0.87573, 0.87631, 0.8769, 0.87573]","[0.18374522030353546, 0.15757524967193604, 0.09155794978141785, 0.05858733132481575, 0.058385610580444336, 0.04885202646255493, 0.05122235044836998, 0.03688197582960129]","[0.18907757103443146, 0.1556817591190338, 0.1045394316315651, 0.08387334644794464, 0.08771374076604843, 0.07914768904447556, 0.07806548476219177, 0.07541140913963318]","[0.18374522030353546, 0.15757524967193604, 0.09155794978141785, 0.05858733132481575, 0.058385610580444336, 0.04885202646255493, 0.05122235044836998, 0.03688197582960129]","[0.18907757103443146, 0.1556817591190338, 0.1045394316315651, 0.08387334644794464, 0.08771374076604843, 0.07914768904447556, 0.07806548476219177, 0.07541140913963318]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.88724,0.92003,0.87509,0.8804,0.9005,0.85665,734,189,0.87615,0.89856,0.86334,0.87573,0.89505,0.86223
denoised_encoder_only,"[256, 64, 32]",32,0.05,7,1.0,"[0.86236, 0.8647, 0.86668, 0.86371, 0.86011, 0.86058, 0.85941, 0.85935, 0.85906, 0.85906]","[0.90944, 0.90495, 0.90333, 0.89857, 0.89466, 0.89528, 0.89327, 0.89191, 0.89166, 0.89166]","[0.88213, 0.87936, 0.87877, 0.87629, 0.87498, 0.87498, 0.87425, 0.87352, 0.87338, 0.87338]","[0.84692, 0.85601, 0.86206, 0.86074, 0.8636, 0.86227, 0.86508, 0.86295, 0.86638, 0.86766]","[0.88832, 0.89137, 0.89487, 0.89382, 0.89715, 0.89905, 0.89734, 0.89315, 0.90028, 0.90251]","[0.87456, 0.87515, 0.87631, 0.87515, 0.87631, 0.87748, 0.87631, 0.87456, 0.87806, 0.87923]","[0.18162503838539124, 0.15791481733322144, 0.09890127927064896, 0.07715856283903122, 0.07132656872272491, 0.05725420266389847, 0.052692461758852005, 0.07054085284471512, 0.046894535422325134, 0.04387727007269859]","[0.18679189682006836, 0.15632091462612152, 0.10925757139921188, 0.09603690356016159, 0.09487026929855347, 0.0828896313905716, 0.07745110243558884, 0.09543783962726593, 0.07850149273872375, 0.07830023765563965]","[0.18162503838539124, 0.15791481733322144, 0.09890127927064896, 0.07715856283903122, 0.07132656872272491, 0.05725420266389847, 0.052692461758852005, 0.07054085284471512, 0.046894535422325134, 0.04387727007269859]","[0.18679189682006836, 0.15632091462612152, 0.10925757139921188, 0.09603690356016159, 0.09487026929855347, 0.0828896313905716, 0.07745110243558884, 0.09543783962726593, 0.07850149273872375, 0.07830023765563965]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88213,0.90944,0.86236,0.87456,0.88832,0.84692,835,243,0.87338,0.89166,0.85906,0.87923,0.90251,0.86766
denoised_encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.87289, 0.88224, 0.88279, 0.88297, 0.88356]","[0.91917, 0.92459, 0.925, 0.92521, 0.9257]","[0.88724, 0.88826, 0.88855, 0.8884, 0.88855]","[0.86027, 0.86548, 0.87656, 0.87959, 0.88535]","[0.90472, 0.90796, 0.9163, 0.91794, 0.92305]","[0.88156, 0.88273, 0.88623, 0.88681, 0.88915]","[0.18236830830574036, 0.1627771258354187, 0.10244635492563248, 0.08133327960968018, 0.07864497601985931]","[0.1869051605463028, 0.16221100091934204, 0.11444424837827682, 0.10156038403511047, 0.10041116178035736]","[0.18236830830574036, 0.1627771258354187, 0.10244635492563248, 0.08133327960968018, 0.07864497601985931]","[0.1869051605463028, 0.16221100091934204, 0.11444424837827682, 0.10156038403511047, 0.10041116178035736]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",0.88724,0.91917,0.87289,0.88156,0.90472,0.86027,601,108,0.88855,0.9257,0.88356,0.88915,0.92305,0.88535
denoised_encoder_only,"[256, 64, 32]",32,0.08,7,1.0,"[0.87592, 0.87206, 0.87289, 0.8722, 0.87062, 0.87157, 0.87194, 0.87249, 0.87062, 0.87088]","[0.92197, 0.91374, 0.91469, 0.91407, 0.91193, 0.91109, 0.91132, 0.9111, 0.9083, 0.90862]","[0.88767, 0.88403, 0.88417, 0.8833, 0.88242, 0.88198, 0.88213, 0.88198, 0.88067, 0.88082]","[0.85957, 0.85729, 0.8557, 0.86126, 0.8632, 0.86484, 0.86281, 0.86096, 0.86162, 0.86281]","[0.90112, 0.88843, 0.8899, 0.89407, 0.89826, 0.89859, 0.89868, 0.89644, 0.89554, 0.89818]","[0.88156, 0.87398, 0.87515, 0.87631, 0.87806, 0.87806, 0.87865, 0.87748, 0.87631, 0.87806]","[0.17848365008831024, 0.1625252217054367, 0.09951338917016983, 0.07115427404642105, 0.06694860756397247, 0.05845462158322334, 0.04745187237858772, 0.047733373939991, 0.06876280158758163, 0.040967781096696854]","[0.1842799335718155, 0.16061821579933167, 0.10994013398885727, 0.09059847891330719, 0.09035996347665787, 0.08476006984710693, 0.075239397585392, 0.07459977269172668, 0.09413028508424759, 0.07460260391235352]","[0.17848365008831024, 0.1625252217054367, 0.09951338917016983, 0.07115427404642105, 0.06694860756397247, 0.05845462158322334, 0.04745187237858772, 0.047733373939991, 0.06876280158758163, 0.040967781096696854]","[0.1842799335718155, 0.16061821579933167, 0.10994013398885727, 0.09059847891330719, 0.09035996347665787, 0.08476006984710693, 0.075239397585392, 0.07459977269172668, 0.09413028508424759, 0.07460260391235352]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88767,0.92197,0.87592,0.88156,0.90112,0.85957,754,243,0.88082,0.90862,0.87088,0.87806,0.89818,0.86281
denoised_encoder_only,"[256, 64, 32]",32,0.05,6,1.0,"[0.84735, 0.85923, 0.85665, 0.85564, 0.8559, 0.85575, 0.85344, 0.85477, 0.85482]","[0.89431, 0.9036, 0.90072, 0.8996, 0.89878, 0.89775, 0.89464, 0.89601, 0.8959]","[0.87163, 0.87425, 0.87294, 0.87221, 0.87177, 0.87119, 0.86988, 0.87046, 0.87046]","[0.83508, 0.8375, 0.84259, 0.84663, 0.84772, 0.84542, 0.84937, 0.84718, 0.84875]","[0.87908, 0.876, 0.88088, 0.88685, 0.88621, 0.88419, 0.88899, 0.88752, 0.88836]","[0.86639, 0.86464, 0.86639, 0.86756, 0.86698, 0.86639, 0.86814, 0.86756, 0.86814]","[0.17235957086086273, 0.15496529638767242, 0.09845465421676636, 0.06768831610679626, 0.05955161154270172, 0.05792010948061943, 0.05465109273791313, 0.03950510919094086, 0.03699764981865883]","[0.17808015644550323, 0.15474921464920044, 0.10869476944208145, 0.08667492866516113, 0.08349628001451492, 0.08524902909994125, 0.08389177173376083, 0.07229574769735336, 0.06901241093873978]","[0.17235957086086273, 0.15496529638767242, 0.09845465421676636, 0.06768831610679626, 0.05955161154270172, 0.05792010948061943, 0.05465109273791313, 0.03950510919094086, 0.03699764981865883]","[0.17808015644550323, 0.15474921464920044, 0.10869476944208145, 0.08667492866516113, 0.08349628001451492, 0.08524902909994125, 0.08389177173376083, 0.07229574769735336, 0.06901241093873978]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.87163,0.89431,0.84735,0.86639,0.87908,0.83508,686,216,0.87046,0.8959,0.85482,0.86814,0.88836,0.84875
denoised_encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.84819, 0.85756, 0.8593, 0.85969, 0.86231, 0.864, 0.8634, 0.85978, 0.85694, 0.85683, 0.85674]","[0.89271, 0.89527, 0.89693, 0.8971, 0.90136, 0.90331, 0.9018, 0.89787, 0.89524, 0.89381, 0.89397]","[0.87352, 0.87425, 0.87454, 0.87425, 0.87586, 0.87688, 0.87586, 0.87381, 0.8725, 0.87163, 0.87192]","[0.82932, 0.83859, 0.84982, 0.85458, 0.85698, 0.85661, 0.85759, 0.85542, 0.85777, 0.85907, 0.85868]","[0.86675, 0.87093, 0.88136, 0.88876, 0.8927, 0.89311, 0.8949, 0.88869, 0.89146, 0.89227, 0.8929]","[0.86348, 0.86523, 0.86873, 0.87165, 0.8734, 0.87398, 0.87456, 0.87165, 0.87281, 0.8734, 0.8734]","[0.17196163535118103, 0.16608411073684692, 0.11094733327627182, 0.08729895204305649, 0.06218661367893219, 0.0599776953458786, 0.06882864981889725, 0.05121134966611862, 0.05819830670952797, 0.04765801876783371, 0.04614321142435074]","[0.1790868043899536, 0.1652262955904007, 0.11966332048177719, 0.10399647802114487, 0.08456160873174667, 0.08722607791423798, 0.09601154178380966, 0.08291342109441757, 0.08892343193292618, 0.08209414780139923, 0.08297979831695557]","[0.17196163535118103, 0.16608411073684692, 0.11094733327627182, 0.08729895204305649, 0.06218661367893219, 0.0599776953458786, 0.06882864981889725, 0.05121134966611862, 0.05819830670952797, 0.04765801876783371, 0.04614321142435074]","[0.1790868043899536, 0.1652262955904007, 0.11966332048177719, 0.10399647802114487, 0.08456160873174667, 0.08722607791423798, 0.09601154178380966, 0.08291342109441757, 0.08892343193292618, 0.08209414780139923, 0.08297979831695557]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.87352,0.89271,0.84819,0.86348,0.86675,0.82932,832,270,0.87192,0.89397,0.85674,0.8734,0.8929,0.85868
