arch_name,arch,size_latent_space,res,clusters,weight,NMI,ARI,CA,val_NMI,val_ARI,val_CA,loss,val_loss,clustering_loss,val_clustering_loss,zinb_loss,val_zinb_loss,CA_initial,ARI_initial,NMI_initial,val_CA_initial,val_ARI_initial,val_NMI_initial,training_time,nbr_iteration,CA_final,ARI_final,NMI_final,val_CA_final,val_ARI_final,val_NMI_final
denoised_encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.84819, 0.86003, 0.86001, 0.86003, 0.86102, 0.85906, 0.86009, 0.86094, 0.85951, 0.8591]","[0.89271, 0.89759, 0.89855, 0.8993, 0.90035, 0.89677, 0.89717, 0.89862, 0.89708, 0.89642]","[0.87352, 0.87498, 0.87513, 0.87484, 0.87513, 0.87381, 0.87381, 0.87425, 0.87352, 0.87309]","[0.82932, 0.8423, 0.84564, 0.8537, 0.85695, 0.85956, 0.86057, 0.86009, 0.85816, 0.85893]","[0.86675, 0.8758, 0.87836, 0.88917, 0.89262, 0.89441, 0.89579, 0.89588, 0.8943, 0.89491]","[0.86348, 0.86698, 0.86814, 0.87223, 0.8734, 0.87398, 0.87456, 0.87456, 0.87398, 0.87398]","[0.17196163535118103, 0.16565629839897156, 0.10878350585699081, 0.07755143195390701, 0.07381907850503922, 0.06992892920970917, 0.05053925886750221, 0.051938027143478394, 0.06246727332472801, 0.04276102036237717]","[0.1790868043899536, 0.1640564501285553, 0.11761314421892166, 0.09640910476446152, 0.09655871987342834, 0.09600915014743805, 0.0797760859131813, 0.08243884146213531, 0.09335397183895111, 0.07788817584514618]","[0.17196163535118103, 0.16565629839897156, 0.10878350585699081, 0.07755143195390701, 0.07381907850503922, 0.06992892920970917, 0.05053925886750221, 0.051938027143478394, 0.06246727332472801, 0.04276102036237717]","[0.1790868043899536, 0.1640564501285553, 0.11761314421892166, 0.09640910476446152, 0.09655871987342834, 0.09600915014743805, 0.0797760859131813, 0.08243884146213531, 0.09335397183895111, 0.07788817584514618]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.87352,0.89271,0.84819,0.86348,0.86675,0.82932,449,243,0.87309,0.89642,0.8591,0.87398,0.89491,0.85893
denoised_encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.84819, 0.85894, 0.86199, 0.86121, 0.86211, 0.86124, 0.86222, 0.86085, 0.85893, 0.85724, 0.85627]","[0.89271, 0.89667, 0.89897, 0.90007, 0.90126, 0.89924, 0.90073, 0.89958, 0.89731, 0.89524, 0.89387]","[0.87352, 0.87454, 0.87542, 0.87527, 0.876, 0.87513, 0.87586, 0.87484, 0.87381, 0.87294, 0.87236]","[0.82932, 0.84108, 0.85125, 0.85311, 0.8566, 0.86135, 0.85704, 0.85709, 0.85755, 0.85824, 0.85699]","[0.86675, 0.87517, 0.88191, 0.88739, 0.89038, 0.89505, 0.89298, 0.89319, 0.89297, 0.89307, 0.89283]","[0.86348, 0.86698, 0.86873, 0.87106, 0.87281, 0.87398, 0.8734, 0.87398, 0.8734, 0.87398, 0.8734]","[0.17196163535118103, 0.16571801900863647, 0.10899388790130615, 0.07734380662441254, 0.07117301225662231, 0.05949120223522186, 0.05088168382644653, 0.05525976046919823, 0.06668778508901596, 0.04777459055185318, 0.05077890679240227]","[0.1790868043899536, 0.1646663397550583, 0.11866521090269089, 0.09791511297225952, 0.09468922764062881, 0.08755587786436081, 0.07769601047039032, 0.08420123904943466, 0.09464551508426666, 0.08229762315750122, 0.08608483523130417]","[0.17196163535118103, 0.16571801900863647, 0.10899388790130615, 0.07734380662441254, 0.07117301225662231, 0.05949120223522186, 0.05088168382644653, 0.05525976046919823, 0.06668778508901596, 0.04777459055185318, 0.05077890679240227]","[0.1790868043899536, 0.1646663397550583, 0.11866521090269089, 0.09791511297225952, 0.09468922764062881, 0.08755587786436081, 0.07769601047039032, 0.08420123904943466, 0.09464551508426666, 0.08229762315750122, 0.08608483523130417]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.87352,0.89271,0.84819,0.86348,0.86675,0.82932,467,270,0.87236,0.89387,0.85627,0.8734,0.89283,0.85699
denoised_encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.84819, 0.8588, 0.86159, 0.86398, 0.86309, 0.86276, 0.86199, 0.86351, 0.86238, 0.86299, 0.86132]","[0.89271, 0.89721, 0.90013, 0.90352, 0.9028, 0.90168, 0.90227, 0.9031, 0.90183, 0.90142, 0.89999]","[0.87352, 0.87513, 0.87557, 0.87673, 0.87629, 0.87586, 0.87615, 0.87629, 0.87571, 0.87542, 0.87469]","[0.82932, 0.83877, 0.85307, 0.85596, 0.8537, 0.85822, 0.85939, 0.85842, 0.85795, 0.85795, 0.85934]","[0.86675, 0.87092, 0.88559, 0.89124, 0.88917, 0.89385, 0.89609, 0.89464, 0.89258, 0.89258, 0.89316]","[0.86348, 0.86523, 0.87048, 0.87281, 0.87223, 0.87398, 0.87515, 0.87456, 0.87398, 0.87398, 0.87398]","[0.17196163535118103, 0.16549290716648102, 0.10591637343168259, 0.07571912556886673, 0.07317617535591125, 0.06910806894302368, 0.05326082557439804, 0.05621305853128433, 0.06336869299411774, 0.041940901428461075, 0.05223240330815315]","[0.1790868043899536, 0.16353635489940643, 0.11514578759670258, 0.09470918774604797, 0.09716235846281052, 0.09472211450338364, 0.07857400923967361, 0.08689938485622406, 0.09213250875473022, 0.07721985131502151, 0.08705094456672668]","[0.17196163535118103, 0.16549290716648102, 0.10591637343168259, 0.07571912556886673, 0.07317617535591125, 0.06910806894302368, 0.05326082557439804, 0.05621305853128433, 0.06336869299411774, 0.041940901428461075, 0.05223240330815315]","[0.1790868043899536, 0.16353635489940643, 0.11514578759670258, 0.09470918774604797, 0.09716235846281052, 0.09472211450338364, 0.07857400923967361, 0.08689938485622406, 0.09213250875473022, 0.07721985131502151, 0.08705094456672668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.87352,0.89271,0.84819,0.86348,0.86675,0.82932,456,270,0.87469,0.89999,0.86132,0.87398,0.89316,0.85934
denoised_encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.84819, 0.86049, 0.85974, 0.86151, 0.86243, 0.86202, 0.86136, 0.86061, 0.85995, 0.85828]","[0.89271, 0.89783, 0.89835, 0.89955, 0.90104, 0.89994, 0.89891, 0.89832, 0.89773, 0.89672]","[0.87352, 0.87513, 0.87484, 0.87513, 0.87586, 0.87542, 0.87484, 0.87454, 0.8744, 0.87381]","[0.82932, 0.83999, 0.8457, 0.85383, 0.85797, 0.85653, 0.85907, 0.85974, 0.86119, 0.85704]","[0.86675, 0.87153, 0.87662, 0.88945, 0.89401, 0.88891, 0.89227, 0.89517, 0.89602, 0.89091]","[0.86348, 0.86523, 0.86698, 0.87223, 0.87398, 0.87223, 0.8734, 0.87456, 0.87515, 0.87281]","[0.17196163535118103, 0.1656986027956009, 0.1067674532532692, 0.0777968317270279, 0.06556645035743713, 0.06079811230301857, 0.05544886738061905, 0.05706309527158737, 0.046188343316316605, 0.05476543307304382]","[0.1790868043899536, 0.16436974704265594, 0.11589520424604416, 0.0966653823852539, 0.09012698382139206, 0.0890386775135994, 0.08424913138151169, 0.08457443118095398, 0.07544954866170883, 0.086808942258358]","[0.17196163535118103, 0.1656986027956009, 0.1067674532532692, 0.0777968317270279, 0.06556645035743713, 0.06079811230301857, 0.05544886738061905, 0.05706309527158737, 0.046188343316316605, 0.05476543307304382]","[0.1790868043899536, 0.16436974704265594, 0.11589520424604416, 0.0966653823852539, 0.09012698382139206, 0.0890386775135994, 0.08424913138151169, 0.08457443118095398, 0.07544954866170883, 0.086808942258358]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.87352,0.89271,0.84819,0.86348,0.86675,0.82932,420,243,0.87381,0.89672,0.85828,0.87281,0.89091,0.85704
denoised_encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.84819, 0.85857, 0.86186, 0.86245, 0.86186, 0.86229, 0.86158, 0.86023, 0.85956, 0.85969]","[0.89271, 0.89701, 0.90114, 0.90184, 0.90147, 0.90193, 0.90277, 0.90022, 0.899, 0.89842]","[0.87352, 0.87454, 0.876, 0.87586, 0.87542, 0.87571, 0.87557, 0.8744, 0.87396, 0.87352]","[0.82932, 0.83962, 0.84881, 0.8536, 0.85633, 0.85833, 0.85873, 0.85496, 0.85443, 0.85443]","[0.86675, 0.87173, 0.88312, 0.89003, 0.89061, 0.89338, 0.89426, 0.88941, 0.88867, 0.88867]","[0.86348, 0.86523, 0.86989, 0.87223, 0.87281, 0.87398, 0.8734, 0.87165, 0.87165, 0.87165]","[0.17196163535118103, 0.16605238616466522, 0.10685750842094421, 0.08075819164514542, 0.07361479103565216, 0.05858442187309265, 0.05785005912184715, 0.0673912987112999, 0.04754262790083885, 0.042484208941459656]","[0.1790868043899536, 0.1650034636259079, 0.11579079926013947, 0.099947489798069, 0.09599415212869644, 0.08390898257493973, 0.08488196134567261, 0.0948319211602211, 0.08163352310657501, 0.07919740676879883]","[0.17196163535118103, 0.16605238616466522, 0.10685750842094421, 0.08075819164514542, 0.07361479103565216, 0.05858442187309265, 0.05785005912184715, 0.0673912987112999, 0.04754262790083885, 0.042484208941459656]","[0.1790868043899536, 0.1650034636259079, 0.11579079926013947, 0.099947489798069, 0.09599415212869644, 0.08390898257493973, 0.08488196134567261, 0.0948319211602211, 0.08163352310657501, 0.07919740676879883]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.87352,0.89271,0.84819,0.86348,0.86675,0.82932,414,243,0.87352,0.89842,0.85969,0.87165,0.88867,0.85443
encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.8731, 0.87637, 0.8756, 0.87334, 0.87035, 0.87235, 0.87023, 0.87102, 0.87021]","[0.91914, 0.91856, 0.9164, 0.91267, 0.90895, 0.91135, 0.90884, 0.90849, 0.90765]","[0.88403, 0.88417, 0.88344, 0.88169, 0.87994, 0.88111, 0.8798, 0.87965, 0.87921]","[0.85949, 0.85749, 0.86106, 0.86718, 0.86707, 0.8724, 0.87553, 0.87324, 0.87261]","[0.90414, 0.89903, 0.89778, 0.90577, 0.90466, 0.91112, 0.9123, 0.909, 0.91094]","[0.87923, 0.8769, 0.87631, 0.87981, 0.87981, 0.88273, 0.88273, 0.88156, 0.88215]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88403,0.91914,0.8731,0.87923,0.90414,0.85949,764,216,0.87921,0.90765,0.87021,0.88215,0.91094,0.87261
encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.8731, 0.87637, 0.8756, 0.87334, 0.87035, 0.87235, 0.87023, 0.87102, 0.87021]","[0.91914, 0.91856, 0.9164, 0.91267, 0.90895, 0.91135, 0.90884, 0.90849, 0.90765]","[0.88403, 0.88417, 0.88344, 0.88169, 0.87994, 0.88111, 0.8798, 0.87965, 0.87921]","[0.85949, 0.85749, 0.86106, 0.86718, 0.86707, 0.8724, 0.87553, 0.87324, 0.87261]","[0.90414, 0.89903, 0.89778, 0.90577, 0.90466, 0.91112, 0.9123, 0.909, 0.91094]","[0.87923, 0.8769, 0.87631, 0.87981, 0.87981, 0.88273, 0.88273, 0.88156, 0.88215]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88403,0.91914,0.8731,0.87923,0.90414,0.85949,369,216,0.87921,0.90765,0.87021,0.88215,0.91094,0.87261
encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.8731, 0.87637, 0.8756, 0.87334, 0.87035, 0.87235, 0.87023, 0.87102, 0.87021]","[0.91914, 0.91856, 0.9164, 0.91267, 0.90895, 0.91135, 0.90884, 0.90849, 0.90765]","[0.88403, 0.88417, 0.88344, 0.88169, 0.87994, 0.88111, 0.8798, 0.87965, 0.87921]","[0.85949, 0.85749, 0.86106, 0.86718, 0.86707, 0.8724, 0.87553, 0.87324, 0.87261]","[0.90414, 0.89903, 0.89778, 0.90577, 0.90466, 0.91112, 0.9123, 0.909, 0.91094]","[0.87923, 0.8769, 0.87631, 0.87981, 0.87981, 0.88273, 0.88273, 0.88156, 0.88215]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88403,0.91914,0.8731,0.87923,0.90414,0.85949,369,216,0.87921,0.90765,0.87021,0.88215,0.91094,0.87261
encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.8731, 0.87637, 0.8756, 0.87334, 0.87035, 0.87235, 0.87023, 0.87102, 0.87021]","[0.91914, 0.91856, 0.9164, 0.91267, 0.90895, 0.91135, 0.90884, 0.90849, 0.90765]","[0.88403, 0.88417, 0.88344, 0.88169, 0.87994, 0.88111, 0.8798, 0.87965, 0.87921]","[0.85949, 0.85749, 0.86106, 0.86718, 0.86707, 0.8724, 0.87553, 0.87324, 0.87261]","[0.90414, 0.89903, 0.89778, 0.90577, 0.90466, 0.91112, 0.9123, 0.909, 0.91094]","[0.87923, 0.8769, 0.87631, 0.87981, 0.87981, 0.88273, 0.88273, 0.88156, 0.88215]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88403,0.91914,0.8731,0.87923,0.90414,0.85949,369,216,0.87921,0.90765,0.87021,0.88215,0.91094,0.87261
encoder_only,"[256, 64, 32]",32,0.07,7,1.0,"[0.8731, 0.87637, 0.8756, 0.87334, 0.87035, 0.87235, 0.87023, 0.87102, 0.87021]","[0.91914, 0.91856, 0.9164, 0.91267, 0.90895, 0.91135, 0.90884, 0.90849, 0.90765]","[0.88403, 0.88417, 0.88344, 0.88169, 0.87994, 0.88111, 0.8798, 0.87965, 0.87921]","[0.85949, 0.85749, 0.86106, 0.86718, 0.86707, 0.8724, 0.87553, 0.87324, 0.87261]","[0.90414, 0.89903, 0.89778, 0.90577, 0.90466, 0.91112, 0.9123, 0.909, 0.91094]","[0.87923, 0.8769, 0.87631, 0.87981, 0.87981, 0.88273, 0.88273, 0.88156, 0.88215]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0.1772007793188095, 0.16212710738182068, 0.09362555295228958, 0.06421352177858353, 0.06783563643693924, 0.07083989679813385, 0.05669616535305977, 0.04247979074716568, 0.045654524117708206]","[0.18545979261398315, 0.16154786944389343, 0.10695063322782516, 0.0878712609410286, 0.09362176805734634, 0.08741212636232376, 0.08916889876127243, 0.07950015366077423, 0.08192769438028336]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.88403,0.91914,0.8731,0.87923,0.90414,0.85949,405,216,0.87921,0.90765,0.87021,0.88215,0.91094,0.87261
