noise,res,clusters,weight,NMI,ARI,CA,val_NMI,val_ARI,val_CA,loss,val_loss,clustering_loss,val_clustering_loss,zinb_loss,val_zinb_loss,CA_initial,ARI_initial,NMI_initial,val_CA_initial,val_ARI_initial,val_NMI_initial,training_time,nbr_iteration,CA_final,ARI_final,NMI_final,val_CA_final,val_ARI_final,val_NMI_final
0.1,0.09,7,1.0,"[0.86677, 0.86768, 0.86765, 0.86389, 0.86453, 0.86303, 0.86003, 0.85745, 0.85663, 0.85698, 0.8557, 0.85455, 0.85395]","[0.9136, 0.91095, 0.90993, 0.90438, 0.90456, 0.90243, 0.90084, 0.89829, 0.8961, 0.89652, 0.89484, 0.89391, 0.89339]","[0.88403, 0.88257, 0.88184, 0.87936, 0.87921, 0.87805, 0.87702, 0.87571, 0.87484, 0.87484, 0.87396, 0.87338, 0.87294]","[0.85563, 0.86445, 0.86796, 0.87252, 0.87938, 0.87534, 0.87549, 0.87491, 0.87319, 0.87467, 0.87628, 0.87766, 0.87684]","[0.8963, 0.90282, 0.90754, 0.91069, 0.92059, 0.91726, 0.91702, 0.91577, 0.91213, 0.91704, 0.91837, 0.91792, 0.91607]","[0.87865, 0.8804, 0.88156, 0.88331, 0.88798, 0.88623, 0.88623, 0.88565, 0.8839, 0.88623, 0.88681, 0.88681, 0.88565]","[0.6513876914978027, 0.6519196629524231, 0.6155849695205688, 0.5993767976760864, 0.6037700772285461, 0.610729992389679, 0.5790189504623413, 0.5794651508331299, 0.5826501250267029, 0.6127668023109436, 0.5916837453842163, 0.5791158676147461, 0.6280015110969543]","[0.6792784929275513, 0.6676468849182129, 0.6414052248001099, 0.6295692324638367, 0.6364213824272156, 0.6350263357162476, 0.621746838092804, 0.6208280920982361, 0.6248871088027954, 0.6442460417747498, 0.6333498954772949, 0.6236827969551086, 0.6467236280441284]","[0.17066994309425354, 0.15702278912067413, 0.10824240744113922, 0.08683857321739197, 0.08519414812326431, 0.09267251938581467, 0.06568530946969986, 0.06753048300743103, 0.06912952661514282, 0.09952282160520554, 0.07870325446128845, 0.06469061970710754, 0.11384414881467819]","[0.17322196066379547, 0.15861748158931732, 0.1261143833398819, 0.11125407367944717, 0.11163177341222763, 0.112150177359581, 0.10250628739595413, 0.10253380239009857, 0.10549559444189072, 0.12409615516662598, 0.11242721229791641, 0.10186785459518433, 0.12600670754909515]","[0.48071402311325073, 0.4949752986431122, 0.5074136257171631, 0.5125223994255066, 0.5185939073562622, 0.5180643796920776, 0.5133418440818787, 0.5118324756622314, 0.5134875774383545, 0.5129878520965576, 0.5127652883529663, 0.5143296122550964, 0.5139731168746948]","[0.5062029957771301, 0.5092352032661438, 0.5155580639839172, 0.5186535716056824, 0.5250807404518127, 0.5231674909591675, 0.5196848511695862, 0.5185455679893494, 0.519847571849823, 0.5205549597740173, 0.5211722254753113, 0.5221841931343079, 0.5212405323982239]",0.88403,0.9136,0.86677,0.87865,0.8963,0.85563,796,324,0.87294,0.89339,0.85395,0.88565,0.91607,0.87684
0.2,0.08,7,1.0,"[0.87638, 0.87891, 0.87662, 0.87353, 0.87048, 0.87011, 0.8664, 0.86527, 0.86424]","[0.91887, 0.91912, 0.91455, 0.90873, 0.90651, 0.90535, 0.90253, 0.90125, 0.90028]","[0.88636, 0.88607, 0.88388, 0.8814, 0.88023, 0.87994, 0.87877, 0.87805, 0.87761]","[0.8671, 0.86877, 0.87461, 0.87569, 0.87636, 0.87136, 0.87011, 0.86892, 0.87201]","[0.90753, 0.90556, 0.91344, 0.91395, 0.91487, 0.91298, 0.91034, 0.90705, 0.91163]","[0.88331, 0.88215, 0.88448, 0.88506, 0.88565, 0.88448, 0.88331, 0.88156, 0.88331]","[0.6620645523071289, 0.6441094279289246, 0.5971353650093079, 0.5840741991996765, 0.5794162750244141, 0.5838247537612915, 0.5722762942314148, 0.5636644959449768, 0.554984986782074]","[0.6912491321563721, 0.6587726473808289, 0.6206105351448059, 0.6149253249168396, 0.6137732267379761, 0.61439049243927, 0.6098532676696777, 0.6004149317741394, 0.5983573198318481]","[0.1818820685148239, 0.1500888615846634, 0.08888484537601471, 0.07159236073493958, 0.06209821254014969, 0.06641079485416412, 0.060305580496788025, 0.054112814366817474, 0.04577277600765228]","[0.1857123225927353, 0.15033350884914398, 0.10496922582387924, 0.09663157165050507, 0.09061694890260696, 0.09266406297683716, 0.09230009466409683, 0.08522193133831024, 0.08314947038888931]","[0.48015448451042175, 0.49410635232925415, 0.5083492994308472, 0.512470543384552, 0.5172678232192993, 0.5173520445823669, 0.5119175910949707, 0.5095076560974121, 0.5091482996940613]","[0.5057007074356079, 0.5087356567382812, 0.5158311724662781, 0.5184696316719055, 0.5232927203178406, 0.5219779014587402, 0.5178130865097046, 0.5155176520347595, 0.515492856502533]",0.88636,0.91887,0.87638,0.88331,0.90753,0.8671,818,216,0.87761,0.90028,0.86424,0.88331,0.91163,0.87201
0.2,0.1,7,1.0,"[0.86343, 0.86399, 0.86538, 0.86223, 0.86361, 0.86379, 0.86132, 0.85975, 0.85887, 0.85895]","[0.90345, 0.90673, 0.90536, 0.90116, 0.90235, 0.90258, 0.89891, 0.89836, 0.89733, 0.89706]","[0.8814, 0.8814, 0.87965, 0.87746, 0.87775, 0.87775, 0.87615, 0.87557, 0.87513, 0.87513]","[0.8492, 0.85923, 0.86436, 0.86386, 0.86385, 0.86687, 0.86486, 0.86741, 0.86826, 0.86344]","[0.88738, 0.89636, 0.90047, 0.90054, 0.90314, 0.90666, 0.90584, 0.90594, 0.90854, 0.9024]","[0.87748, 0.87806, 0.87981, 0.87923, 0.8804, 0.88156, 0.8804, 0.88098, 0.88215, 0.87923]","[0.6566735506057739, 0.6543077826499939, 0.6083045601844788, 0.5903085470199585, 0.5985203981399536, 0.5930020809173584, 0.586993932723999, 0.5832155346870422, 0.5782052874565125, 0.5764347910881042]","[0.6875786781311035, 0.670408308506012, 0.6361576914787292, 0.6252251267433167, 0.6275188326835632, 0.6229444146156311, 0.625474750995636, 0.6237065196037292, 0.6159504055976868, 0.6218119263648987]","[0.17671233415603638, 0.16120870411396027, 0.1031971126794815, 0.08036922663450241, 0.08520446717739105, 0.08011294156312943, 0.07317344099283218, 0.069777712225914, 0.06733530759811401, 0.06428594142198563]","[0.1826990693807602, 0.16337992250919342, 0.12275446206331253, 0.10874775797128677, 0.10972685366868973, 0.10493731498718262, 0.10669170320034027, 0.10407155007123947, 0.0996699184179306, 0.10410451889038086]","[0.47996431589126587, 0.4931674599647522, 0.5051952004432678, 0.509942352771759, 0.5132373571395874, 0.512810230255127, 0.5138099193572998, 0.5133132338523865, 0.5107751488685608, 0.5120543241500854]","[0.5050895810127258, 0.5073884725570679, 0.5135951638221741, 0.5166259407997131, 0.5181953310966492, 0.5182656049728394, 0.5190597772598267, 0.5197833180427551, 0.5163955092430115, 0.5181461572647095]",0.8814,0.90345,0.86343,0.87748,0.88738,0.8492,823,243,0.87513,0.89706,0.85895,0.87923,0.9024,0.86344
0.2,0.05,6,1.0,"[0.8531, 0.86295, 0.86408, 0.86435, 0.86203, 0.86393, 0.86456, 0.86272, 0.86143]","[0.90442, 0.90632, 0.90574, 0.90424, 0.90086, 0.90271, 0.90322, 0.9011, 0.89934]","[0.87615, 0.87702, 0.87688, 0.87659, 0.87498, 0.87586, 0.876, 0.87513, 0.8744]","[0.83032, 0.85299, 0.85713, 0.86561, 0.86828, 0.86559, 0.8655, 0.86121, 0.86476]","[0.87951, 0.894, 0.89777, 0.90879, 0.91146, 0.9102, 0.91036, 0.90617, 0.90667]","[0.86814, 0.87281, 0.87456, 0.87865, 0.87923, 0.87923, 0.87981, 0.87806, 0.87806]","[0.6513177752494812, 0.6502262949943542, 0.6041238307952881, 0.5891472101211548, 0.5953851342201233, 0.5789352655410767, 0.5760179162025452, 0.571744978427887, 0.5660322904586792]","[0.6811637282371521, 0.6671072840690613, 0.6319681406021118, 0.6206597089767456, 0.6229672431945801, 0.6128749251365662, 0.6160166263580322, 0.6133992075920105, 0.6089714169502258]","[0.1704445779323578, 0.15579593181610107, 0.09599308669567108, 0.07592406123876572, 0.07906787842512131, 0.06409229338169098, 0.060422588139772415, 0.05774218589067459, 0.05327124148607254]","[0.17648255825042725, 0.15952323377132416, 0.11670324951410294, 0.10273617506027222, 0.10223662108182907, 0.09367618709802628, 0.09600625187158585, 0.09400022774934769, 0.09167278558015823]","[0.4808732569217682, 0.4945451319217682, 0.508251965045929, 0.513167142868042, 0.5162574052810669, 0.5148120522499084, 0.5155386924743652, 0.5139065384864807, 0.512686014175415]","[0.5049211978912354, 0.5079670548439026, 0.5156463980674744, 0.5183209180831909, 0.5210198760032654, 0.5193420052528381, 0.5202628970146179, 0.5196706056594849, 0.5175485610961914]",0.87615,0.90442,0.8531,0.86814,0.87951,0.83032,673,216,0.8744,0.89934,0.86143,0.87806,0.90667,0.86476
0.2,0.1,7,1.0,"[0.86348, 0.8629, 0.85621, 0.8602, 0.85802, 0.85693, 0.85609, 0.85465, 0.85345, 0.85257]","[0.90319, 0.89717, 0.88605, 0.89197, 0.88677, 0.88519, 0.88524, 0.88195, 0.88019, 0.87945]","[0.88009, 0.87688, 0.87163, 0.87425, 0.87206, 0.87104, 0.87104, 0.86958, 0.86885, 0.86856]","[0.84296, 0.84409, 0.84317, 0.85387, 0.85898, 0.8587, 0.8652, 0.85843, 0.8595, 0.85902]","[0.88057, 0.8785, 0.86929, 0.88944, 0.8922, 0.89156, 0.89919, 0.88964, 0.89026, 0.88835]","[0.87223, 0.87048, 0.86639, 0.87456, 0.87573, 0.87515, 0.87806, 0.87398, 0.87398, 0.8734]","[0.6503766775131226, 0.6575048565864563, 0.6166515946388245, 0.6051450967788696, 0.5961715579032898, 0.5941213369369507, 0.5756125450134277, 0.5803319811820984, 0.565049409866333, 0.5657408237457275]","[0.6822779178619385, 0.6737793684005737, 0.6415244340896606, 0.6304831504821777, 0.6294848322868347, 0.6301303505897522, 0.6146712899208069, 0.6234477162361145, 0.615361213684082, 0.6153472661972046]","[0.17032301425933838, 0.1640457808971405, 0.10909232497215271, 0.09412093460559845, 0.08194655179977417, 0.07934833317995071, 0.06338465958833694, 0.0686907097697258, 0.05332677438855171, 0.05478570610284805]","[0.177003413438797, 0.16566453874111176, 0.12582550942897797, 0.1136109009385109, 0.11064742505550385, 0.10994534939527512, 0.09729211777448654, 0.1060800775885582, 0.09797155112028122, 0.0988137349486351]","[0.4800367057323456, 0.4935045838356018, 0.5076268315315247, 0.5110082030296326, 0.5141854882240295, 0.5147109031677246, 0.512222945690155, 0.5116551518440247, 0.511715829372406, 0.5108861923217773]","[0.5054863691329956, 0.5083438754081726, 0.5160209536552429, 0.517143189907074, 0.519279420375824, 0.5204645395278931, 0.5176478624343872, 0.5176841020584106, 0.5175727009773254, 0.5168938636779785]",0.88009,0.90319,0.86348,0.87223,0.88057,0.84296,996,243,0.86856,0.87945,0.85257,0.8734,0.88835,0.85902
0.3,0.08,8,1.0,"[0.89273, 0.8899, 0.88762, 0.88223, 0.87943, 0.87743, 0.87651, 0.87428, 0.86956, 0.86806, 0.86721, 0.86683, 0.86596, 0.86458, 0.86537]","[0.93486, 0.92849, 0.92433, 0.9173, 0.91493, 0.91176, 0.90796, 0.90451, 0.89982, 0.89719, 0.89604, 0.89518, 0.89373, 0.89185, 0.89271]","[0.91583, 0.91233, 0.91014, 0.90664, 0.90532, 0.90387, 0.90139, 0.89964, 0.8973, 0.89584, 0.89526, 0.89468, 0.89409, 0.89336, 0.89365]","[0.87739, 0.86756, 0.87346, 0.88271, 0.88427, 0.88189, 0.87569, 0.88147, 0.88005, 0.87609, 0.8747, 0.87401, 0.88791, 0.8821, 0.87168]","[0.9174, 0.9058, 0.9138, 0.92108, 0.92278, 0.91999, 0.91585, 0.92063, 0.92291, 0.91623, 0.91456, 0.9123, 0.92651, 0.92337, 0.90871]","[0.90723, 0.90082, 0.9049, 0.90898, 0.91015, 0.90898, 0.90607, 0.9084, 0.90782, 0.90665, 0.9049, 0.9049, 0.91074, 0.9084, 0.9014]","[0.6562950611114502, 0.672651469707489, 0.6291812658309937, 0.6030029058456421, 0.6079856157302856, 0.6157105565071106, 0.5969553589820862, 0.6018540859222412, 0.6162437796592712, 0.5894248485565186, 0.588715136051178, 0.5896663665771484, 0.5993310809135437, 0.5939604043960571, 0.5750735998153687]","[0.6927078366279602, 0.6888898015022278, 0.6542377471923828, 0.6380659341812134, 0.6404671669006348, 0.6418949365615845, 0.6369807720184326, 0.6413382887840271, 0.6410523653030396, 0.6373443007469177, 0.635170578956604, 0.6311060786247253, 0.6372029781341553, 0.6331369876861572, 0.6281443238258362]","[0.1787859946489334, 0.1829904466867447, 0.1265438348054886, 0.09460752457380295, 0.0967535451054573, 0.1028476133942604, 0.08411192893981934, 0.08683430403470993, 0.10003095865249634, 0.0778275653719902, 0.07666125148534775, 0.07881587743759155, 0.08808055520057678, 0.08371658623218536, 0.06484616547822952]","[0.1888517588376999, 0.18309715390205383, 0.1424180120229721, 0.12333350628614426, 0.12373632192611694, 0.12370874732732773, 0.11935242265462875, 0.12061939388513565, 0.12145137786865234, 0.1210036426782608, 0.1181337982416153, 0.11623655259609222, 0.12183903902769089, 0.11830596625804901, 0.11269383877515793]","[0.47748586535453796, 0.48973962664604187, 0.5027429461479187, 0.5084457993507385, 0.5112286806106567, 0.5128164887428284, 0.5129110813140869, 0.5149495005607605, 0.5161046981811523, 0.5116456151008606, 0.5119723677635193, 0.5106685757637024, 0.5110492706298828, 0.5100514888763428, 0.5101593732833862]","[0.5039475560188293, 0.5060211420059204, 0.5120649933815002, 0.5149484872817993, 0.5170634984970093, 0.5184338092803955, 0.5176899433135986, 0.52073734998703, 0.5196236968040466, 0.5167748332023621, 0.517380952835083, 0.5153529047966003, 0.5158779621124268, 0.5150584578514099, 0.5154770016670227]",0.91583,0.93486,0.89273,0.90723,0.9174,0.87739,1406,378,0.89365,0.89271,0.86537,0.9014,0.90871,0.87168
0.3,0.06,7,1.0,"[0.87052, 0.87228, 0.87087, 0.87107, 0.86942, 0.86616, 0.86637, 0.86448, 0.866]","[0.91107, 0.90873, 0.9043, 0.90347, 0.90172, 0.89667, 0.89814, 0.89622, 0.89719]","[0.88067, 0.87936, 0.87702, 0.87644, 0.87527, 0.87338, 0.87352, 0.87265, 0.87294]","[0.86461, 0.86648, 0.86589, 0.87595, 0.87487, 0.86845, 0.87284, 0.87214, 0.87225]","[0.90474, 0.90348, 0.89987, 0.90971, 0.90973, 0.90272, 0.90885, 0.90832, 0.90972]","[0.88098, 0.8804, 0.87865, 0.88156, 0.88156, 0.87865, 0.8804, 0.8804, 0.88098]","[0.6452760100364685, 0.6523481607437134, 0.6081326007843018, 0.5846025347709656, 0.5880134105682373, 0.5970284342765808, 0.585117757320404, 0.5615622997283936, 0.5652005672454834]","[0.6752947568893433, 0.6672718524932861, 0.6304360032081604, 0.6162204742431641, 0.6207414865493774, 0.6210942268371582, 0.6225327849388123, 0.6054412126541138, 0.6053887605667114]","[0.16452638804912567, 0.16035203635692596, 0.10356324911117554, 0.07276702672243118, 0.06887165457010269, 0.07890772819519043, 0.07112077623605728, 0.05054396763443947, 0.05396321043372154]","[0.17097964882850647, 0.16101430356502533, 0.11822140961885452, 0.0995241031050682, 0.09610547870397568, 0.10044797509908676, 0.10382979363203049, 0.08971424400806427, 0.08995431661605835]","[0.48074907064437866, 0.4920954406261444, 0.5046584606170654, 0.511850893497467, 0.5191296339035034, 0.518047034740448, 0.5139539241790771, 0.510980486869812, 0.5111762285232544]","[0.5044254660606384, 0.5064112544059753, 0.5125519037246704, 0.5169137120246887, 0.5248634219169617, 0.5212264657020569, 0.5189918875694275, 0.5159672498703003, 0.515648365020752]",0.88067,0.91107,0.87052,0.88098,0.90474,0.86461,844,216,0.87294,0.89719,0.866,0.88098,0.90972,0.87225
0.3,0.08,7,1.0,"[0.87413, 0.87284, 0.87523, 0.87509, 0.87608, 0.87339, 0.87195, 0.87169, 0.86793, 0.86918, 0.86673, 0.86662, 0.86594]","[0.91422, 0.90951, 0.91247, 0.91242, 0.9128, 0.90897, 0.90778, 0.9065, 0.90301, 0.90363, 0.90084, 0.90113, 0.90041]","[0.88315, 0.88096, 0.88198, 0.88198, 0.88242, 0.88082, 0.88023, 0.87994, 0.87834, 0.87863, 0.87746, 0.87746, 0.87717]","[0.85615, 0.85852, 0.86395, 0.86618, 0.87296, 0.86686, 0.86686, 0.86762, 0.87286, 0.87129, 0.86824, 0.8616, 0.86776]","[0.89245, 0.8938, 0.89879, 0.9022, 0.90872, 0.90365, 0.90365, 0.9034, 0.90898, 0.90453, 0.9037, 0.89741, 0.90418]","[0.87515, 0.87573, 0.87748, 0.87865, 0.88098, 0.87923, 0.87923, 0.87923, 0.8804, 0.87923, 0.87923, 0.87631, 0.87865]","[0.6544707417488098, 0.6605817079544067, 0.6090289354324341, 0.5905205011367798, 0.6017521023750305, 0.58060222864151, 0.5655229687690735, 0.5784177184104919, 0.5920019745826721, 0.5954062938690186, 0.5958558917045593, 0.5727352499961853, 0.5599896311759949]","[0.6852399110794067, 0.6747592687606812, 0.6324765682220459, 0.6207684278488159, 0.6269641518592834, 0.6155043840408325, 0.6064460873603821, 0.6182222366333008, 0.6223835945129395, 0.6240833401679993, 0.6308100819587708, 0.6149898171424866, 0.6059394478797913]","[0.17412221431732178, 0.16784553229808807, 0.10380177199840546, 0.08060450106859207, 0.08834700286388397, 0.06820966303348541, 0.05496552959084511, 0.06666448712348938, 0.07786206156015396, 0.08230401575565338, 0.08203058689832687, 0.06135636940598488, 0.05121529847383499]","[0.18117037415504456, 0.1681164801120758, 0.11909781396389008, 0.10447532683610916, 0.10937078297138214, 0.09806094318628311, 0.09076208621263504, 0.10159707814455032, 0.10303221642971039, 0.10680198669433594, 0.11304406821727753, 0.09908399730920792, 0.09207205474376678]","[0.48032552003860474, 0.4928024113178253, 0.5053486824035645, 0.5099434852600098, 0.5133490562438965, 0.5124099254608154, 0.5105622410774231, 0.5116833448410034, 0.5140156745910645, 0.5129431486129761, 0.513804018497467, 0.5112656950950623, 0.5087640285491943]","[0.5041845440864563, 0.5069743990898132, 0.5136827826499939, 0.5164754986763, 0.5181201696395874, 0.5176352858543396, 0.5158202052116394, 0.5166698694229126, 0.5194122195243835, 0.5176977515220642, 0.5182188749313354, 0.5162380933761597, 0.5139850378036499]",0.88315,0.91422,0.87413,0.87515,0.89245,0.85615,1432,324,0.87717,0.90041,0.86594,0.87865,0.90418,0.86776
0.3,0.08,7,1.0,"[0.86159, 0.86434, 0.8639, 0.86583, 0.86583, 0.86602, 0.86277, 0.86072, 0.86096, 0.85902, 0.85751]","[0.90608, 0.90403, 0.90126, 0.90018, 0.90114, 0.90041, 0.89507, 0.89316, 0.89327, 0.89043, 0.88901]","[0.88023, 0.87907, 0.87761, 0.87717, 0.87761, 0.87702, 0.87484, 0.87381, 0.87396, 0.8725, 0.87192]","[0.85428, 0.8614, 0.86527, 0.8692, 0.87716, 0.87536, 0.87737, 0.87487, 0.87258, 0.86672, 0.86907]","[0.89673, 0.89548, 0.89694, 0.90319, 0.90942, 0.91021, 0.91139, 0.90778, 0.90654, 0.89631, 0.89581]","[0.87923, 0.87806, 0.87806, 0.8804, 0.88273, 0.88331, 0.88331, 0.88156, 0.88156, 0.87748, 0.87806]","[0.651185929775238, 0.6533330082893372, 0.6080223321914673, 0.5950863361358643, 0.6160433888435364, 0.5845378041267395, 0.5771862268447876, 0.5912623405456543, 0.5937216281890869, 0.5632781982421875, 0.5758116841316223]","[0.6820929646492004, 0.6675066351890564, 0.6308465003967285, 0.6233038306236267, 0.6307420134544373, 0.6188194751739502, 0.6142021417617798, 0.6207911968231201, 0.6265048980712891, 0.6097135543823242, 0.6197576522827148]","[0.1714857667684555, 0.16174662113189697, 0.10387339442968369, 0.0841028243303299, 0.10335002839565277, 0.07432207465171814, 0.06582960486412048, 0.0774693414568901, 0.08163809776306152, 0.054638490080833435, 0.06551647186279297]","[0.1771097481250763, 0.16100727021694183, 0.11819318681955338, 0.105282261967659, 0.11296003311872482, 0.10277271270751953, 0.09682520478963852, 0.10249686986207962, 0.10837093740701675, 0.09525128453969955, 0.10355571657419205]","[0.47967585921287537, 0.49164605140686035, 0.5042300820350647, 0.5109879374504089, 0.5126709938049316, 0.5102824568748474, 0.5113075375556946, 0.5136623382568359, 0.5120217800140381, 0.5085770487785339, 0.5101735591888428]","[0.5051871538162231, 0.5069007277488708, 0.5130967497825623, 0.518247127532959, 0.5182668566703796, 0.5164430141448975, 0.517755925655365, 0.5183948278427124, 0.5183120965957642, 0.5148271918296814, 0.51661217212677]",0.88023,0.90608,0.86159,0.87923,0.89673,0.85428,911,270,0.87192,0.88901,0.85751,0.87806,0.89581,0.86907
0.4,0.07,7,1.0,"[0.88289, 0.87952, 0.87582, 0.87644, 0.87691, 0.87595, 0.87409, 0.87422, 0.87297]","[0.92451, 0.91913, 0.91519, 0.91582, 0.91547, 0.91451, 0.91287, 0.91185, 0.91148]","[0.88942, 0.88709, 0.8849, 0.8849, 0.88446, 0.88403, 0.88315, 0.88271, 0.88242]","[0.86619, 0.87067, 0.87083, 0.87537, 0.87649, 0.87135, 0.87461, 0.87613, 0.87515]","[0.90592, 0.90418, 0.90088, 0.91291, 0.91314, 0.90836, 0.90949, 0.90975, 0.91061]","[0.88156, 0.88098, 0.87981, 0.88448, 0.88506, 0.88273, 0.88331, 0.88331, 0.88331]","[0.6599941849708557, 0.6571828722953796, 0.6035060882568359, 0.5896127820014954, 0.5833872556686401, 0.6043135523796082, 0.5675021409988403, 0.5639145970344543, 0.567284882068634]","[0.6889936327934265, 0.6703431606292725, 0.6263538599014282, 0.6135149002075195, 0.6170384883880615, 0.6341184973716736, 0.6023819446563721, 0.6072701811790466, 0.607282280921936]","[0.17845363914966583, 0.16396009922027588, 0.0964602380990982, 0.07770504802465439, 0.06895914673805237, 0.08557542413473129, 0.05647115036845207, 0.049455031752586365, 0.053017765283584595]","[0.1849416345357895, 0.16421735286712646, 0.11163053661584854, 0.09650763124227524, 0.09859585762023926, 0.11041375249624252, 0.08713134378194809, 0.08825834095478058, 0.08830370008945465]","[0.4815124571323395, 0.493315726518631, 0.5071443915367126, 0.5119249224662781, 0.5144008994102478, 0.5185994505882263, 0.5110415816307068, 0.5144374370574951, 0.514200747013092]","[0.5040717124938965, 0.5064948797225952, 0.5150935053825378, 0.5174413919448853, 0.5188667178153992, 0.5240238904953003, 0.5155665278434753, 0.5192804336547852, 0.5194123983383179]",0.88942,0.92451,0.88289,0.88156,0.90592,0.86619,633,216,0.88242,0.91148,0.87297,0.88331,0.91061,0.87515
